,Building,Demand (kWh/year),PV_gen(kWh/year),SELFCONS (kWh/year),SELFCONS (SS RATIO),EC_SHARING (kWh/year),EC_SHARING (SS RATIO),EC_BESS (kWh/year),EC_BESS (SS RATIO),Self_consumed_energy (kWh/year)
0,B1022,18791.061999999998,24920.03,10192.812,0.457571264466053,9844.193368479211,0.4761236289636418,5749.628315971548,0.6940232374321607,8598.249999999998
1,B1031,11952.117999999999,24786.859999999997,8617.715,0.2789800937373609,8545.0764704547,0.285057554614613,4792.4132745399,0.5990322991674027,3334.402999999995
2,B1016,19054.726,26372.54,10047.929,0.4726804783233304,9746.343488494393,0.4885078122616724,5705.3239126990675,0.7005822118513241,9006.797000000002
3,B1015,18740.001,26588.29,9813.863,0.47631470243784946,9568.626916115929,0.48940093887316605,5773.774214009877,0.6919010722566196,8926.137999999999
4,B1018,19077.878,26061.39,9985.828,0.4765755394808584,9708.619108904371,0.4911059233681875,5838.957171930508,0.6939409523464555,9092.05
5,B1021,18218.371000000003,25081.62,10115.314,0.44477395920853746,9836.237296422525,0.4600923816721856,5809.226011786821,0.6811336199165765,8103.056999999997
6,B1020,18041.307,26083.38,9915.635,0.4503926461647152,9693.340776987816,0.46271404965350815,5738.980894447466,0.681897719802259,8125.672000000002
7,B1024,14385.018999999998,26891.979999999996,7596.053,0.4719469609320641,7574.1797060891595,0.47346752158692595,4434.612330674927,0.6917200922240752,6788.965999999997
8,B1017,18012.495,25095.83,9549.752,0.46982625116620425,9320.825055867635,0.4825355923281236,5481.090850499837,0.6957061833743834,8462.743000000002
9,B1013,18251.838,27244.83,9171.503,0.49750249810457436,9068.085184866311,0.5031686570488785,5425.409398596624,0.7027472302462566,9080.335000000003
10,B1023,14233.967999999999,26369.19,7752.5869999999995,0.4553460426495268,7716.65137861342,0.4578706809925791,4425.4396623789435,0.6890930440212495,6481.380999999998
11,B1019,18720.900999999998,24847.969999999998,9982.085,0.46679462703210706,9714.637643513219,0.48108065720163684,5623.704542795555,0.6996028907585401,8738.815999999999
12,B1025,14667.802999999998,23303.54,7907.487999999999,0.4608948593051052,7849.599605191312,0.4648414895406413,4538.6988706953125,0.690567232823122,6760.314999999999
