,Building,Ecost_base (€),Ecost_SC (€),Ecost_EC (€),Ecost_EC_BESS (€),Savings_SC (€),Savings_SC (%),Savings_EC (€),Savings_EC (%),Savings_EC_BESS (€),Savings_EC_BESS (%),Income_PV_SC(€),Income_PV_EC(€),Income_PV_EC_B(€),incomeEC_total,incomeEC_b_total
0,B1022,2974.6251146000004,1547.0090073000001,1487.825880227937,840.1234301949679,1427.6161073000003,0.47993143750888173,1486.7992343720634,0.4998274327324753,2134.5016844050324,0.7175699801391814,1561.7904298,1577.872973655094,1563.2687951099829,22204.4366387,17154.24374107809
1,B1031,1892.0202794,1341.8478828,1328.9259637299344,717.7622635366541,550.1723966,0.29078567634299957,563.0943156700655,0.2976153700892861,1174.258015863346,0.6206371192996558,2101.2215986,2073.8701366393884,2054.675201267185,22204.4366387,17154.24374107809
2,B1016,3016.3631258,1523.7055692000004,1471.9386815203516,832.3830743507491,1492.6575565999997,0.4948534027063194,1544.4244442796485,0.5120154238293296,2183.980051449251,0.7240441420228593,1655.141999,1678.7958511351171,1663.2575696890665,22204.4366387,17154.24374107809
3,B1015,2966.5421582999998,1480.9529277000001,1440.2962639147959,843.4013901477974,1485.5892305999996,0.5007814321611826,1526.2458943852039,0.5144865007614896,2123.1407681522023,0.7156954645704023,1713.8976338000002,1707.4505536398767,1691.6470554124228,22204.4366387,17154.24374107809
4,B1018,3020.0280874,1507.0935042,1461.066361377474,852.8200023765701,1512.9345832,0.5009670570655236,1558.961726022526,0.5162076910896103,2167.2080850234297,0.7176118970765005,1642.3326464000002,1640.47444376559,1625.2908503613965,22204.4366387,17154.24374107809
5,B1021,2883.9681293,1535.0309217,1488.4191042383304,851.5913162456307,1348.9372076,0.467736516882874,1395.5490250616695,0.4838989068164213,2032.3768130543692,0.704715420536797,1642.0537662,1641.3660574520889,1626.1742116183982,22204.4366387,17154.24374107809
6,B1020,2855.9388981,1499.8976145000001,1463.0743089105808,839.712821761617,1356.0412836,0.4748145292961791,1392.8645891894193,0.4877081194265272,2016.2260763383833,0.705976615143881,1741.22939,1736.022794204423,1719.9548424312113,22204.4366387,17154.24374107809
7,B1024,2277.1485076999998,1147.4034264,1143.7418413433882,644.1294448899772,1129.7450812999998,0.4961227067447973,1133.4066663566116,0.49773067611711996,1633.0190628100227,0.7171333170797145,1975.6784787,1943.4156372411578,1925.4281379763183,22204.4366387,17154.24374107809
8,B1017,2851.3779584999993,1450.7463348,1411.6096837993805,801.8700861927423,1400.6316236999992,0.4912121942742441,1439.7682747006188,0.504937716309635,2049.507872307257,0.7187780442075888,1596.4775617999999,1607.9679082645328,1593.085182709822,22204.4366387,17154.24374107809
9,B1013,2889.2659553999997,1380.6281961,1363.9150523141184,790.2635432596018,1508.6377592999997,0.522152609897464,1525.3509030858813,0.5279371738814909,2099.002412140398,0.7264829352996703,1777.9582162999998,1756.013482634436,1739.7605048243088,22204.4366387,17154.24374107809
10,B1023,2253.2371344,1173.1785156,1166.881250775891,642.6102140930335,1080.0586187999997,0.47933641883973377,1086.3558836241089,0.48213118230602375,1610.6269203069664,0.7148057768610537,1929.3992309,1922.6111567681064,1904.816215682816,22204.4366387,17154.24374107809
11,B1019,2963.5186283000003,1511.4449583,1466.0099903491616,820.9600886748374,1452.0736700000002,0.48998297366295657,1497.5086379508386,0.5053144001358524,2142.5585396251627,0.7229779219758862,1543.5709268,1557.3178124596611,1542.903884491836,22204.4366387,17154.24374107809
12,B1025,2321.9132148999997,1196.6156351999998,1186.8230816986577,660.6158113262228,1125.2975797,0.4846423942457575,1135.090133201342,0.4888598445098337,1661.297403573777,0.7154864328748505,1614.2575152000002,1599.280692706022,1584.4783726397088,22204.4366387,17154.24374107809
