,Date,Edem_B1022,Egen_B1022,Edem_B1014,Egen_B1014,Edem_B1016,Egen_B1016,Edem_B1015,Egen_B1015,Edem_B1018,Egen_B1018,Edem_B1021,Egen_B1021,Edem_B1020,Egen_B1020,Edem_B1024,Egen_B1024,Edem_B1017,Egen_B1017,Edem_B1013,Egen_B1013,Edem_B1023,Egen_B1023,Edem_B1019,Egen_B1019,Edem_B1025,Egen_B1025,GRID_total,PV_total,EC_demand,EC_surplus
0,2005-01-01 00:00:00,0.111,0.0,0.085,0.0,0.123,0.0,0.112,0.0,0.128,0.0,0.103,0.0,0.104,0.0,0.084,0.0,0.081,0.0,0.081,0.0,0.107,0.0,0.101,0.0,0.092,0.0,1.3119999999999998,0.0,,
1,2005-01-01 01:00:00,0.111,0.0,0.085,0.0,0.123,0.0,0.112,0.0,0.128,0.0,0.103,0.0,0.104,0.0,0.084,0.0,0.081,0.0,0.081,0.0,0.107,0.0,0.101,0.0,0.092,0.0,1.3119999999999998,0.0,,
2,2005-01-01 02:00:00,0.111,0.0,0.085,0.0,0.123,0.0,0.112,0.0,0.128,0.0,0.103,0.0,0.104,0.0,0.084,0.0,0.081,0.0,0.081,0.0,0.107,0.0,0.101,0.0,0.092,0.0,1.3119999999999998,0.0,,
3,2005-01-01 03:00:00,0.111,0.0,0.085,0.0,0.123,0.0,0.112,0.0,0.128,0.0,0.103,0.0,0.104,0.0,0.084,0.0,0.081,0.0,0.081,0.0,0.107,0.0,0.101,0.0,0.092,0.0,1.3119999999999998,0.0,,
4,2005-01-01 04:00:00,0.111,0.0,0.085,0.0,0.123,0.0,0.112,0.0,0.128,0.0,0.103,0.0,0.104,0.0,0.084,0.0,0.081,0.0,0.081,0.0,0.107,0.0,0.101,0.0,0.092,0.0,1.3119999999999998,0.0,,
5,2005-01-01 05:00:00,0.111,0.0,0.085,0.0,0.123,0.0,0.112,0.0,0.128,0.0,0.103,0.0,0.104,0.0,0.084,0.0,0.081,0.0,0.081,0.0,0.107,0.0,0.101,0.0,0.092,0.0,1.3119999999999998,0.0,,
6,2005-01-01 06:00:00,6.938,0.0,6.874,0.0,6.897,0.0,6.887,0.0,6.885,0.0,6.928,0.0,6.917,0.0,5.614,0.0,6.855,0.0,6.783,0.0,5.61,0.0,6.971,0.0,5.668,0.0,85.82700000000001,0.0,,
7,2005-01-01 07:00:00,7.894,0.0,7.584,0.0,8.01,0.0,7.85,0.0,7.907,0.0,7.629,0.0,7.59,0.0,6.008,0.0,7.332,0.0,7.257,0.0,6.125,0.0,7.127,0.0,5.911,0.0,94.224,0.0,,
8,2005-01-01 08:00:00,7.206,0.0,6.952,0.0,7.322,0.0,7.2,0.0,7.327,0.0,6.934,0.0,6.918,0.0,5.515,0.0,6.62,0.0,6.734,0.0,5.508,0.0,6.782,0.0,5.472,0.0,86.48999999999998,0.0,,
9,2005-01-01 09:00:00,6.767,3.47,6.557,3.88,6.883,3.62,6.784,2.72,6.866,2.73,6.549,2.44,6.481,2.58,5.086,3.42,6.329,3.36,6.331,3.39,5.077,3.99,6.282,3.46,5.069,3.37,81.06099999999999,42.43,,
10,2005-01-01 10:00:00,5.75,5.29,5.582,6.39,5.816,5.35,5.76,4.95,5.807,4.93,5.615,4.57,5.537,4.84,4.212,6.13,5.493,5.09,5.445,6.13,4.193,6.4,5.459,5.36,4.232,5.79,68.90100000000001,71.22000000000001,,
11,2005-01-01 11:00:00,5.536,5.65,5.373,6.49,5.577,5.81,5.511,6.21,5.554,6.15,5.372,5.63,5.295,5.87,4.021,6.68,5.266,5.64,5.219,6.74,4.003,6.48,5.24,5.69,4.031,5.99,65.998,79.03,,
12,2005-01-01 12:00:00,6.305,5.8,6.147,6.51,6.643,6.06,6.354,7.1,6.734,6.94,5.563,6.19,5.37,6.66,4.531,7.21,5.646,5.94,6.161,7.28,4.285,6.5,6.493,5.92,4.854,6.1,75.086,84.20999999999998,,
13,2005-01-01 13:00:00,5.128,4.66,5.004,5.16,5.151,4.92,5.064,6.09,5.095,5.89,4.983,5.3,4.906,5.78,3.718,6.11,4.908,4.82,4.84,6.21,3.736,5.15,4.899,4.76,3.763,4.84,61.19500000000001,69.69,,
14,2005-01-01 14:00:00,4.918,3.44,4.777,3.7,4.94,3.53,4.855,4.79,4.905,4.58,4.751,4.19,4.698,4.55,3.526,4.75,4.621,3.53,4.615,4.88,3.547,3.68,4.714,3.49,3.567,3.5,58.434000000000005,52.61000000000001,,
