,Building,Ecost_base (€),Ecost_SC (€),Ecost_EC (€),Ecost_EC_BESS (€),Savings_SC (€),Savings_SC (%),Savings_EC (€),Savings_EC (%),Savings_EC_BESS (€),Savings_EC_BESS (%),Income_PV_SC(€),Income_PV_EC(€),Income_PV_EC_B(€),incomeEC_total,incomeEC_b_total
0,B1022,2974.6251146000004,1547.0090073000001,1484.449947890754,809.333290221319,1427.6161073000003,0.47993143750888173,1490.1751667092465,0.5009623429168254,2165.2918243786817,0.7279209113615817,1561.7904298,1582.6780896043097,1565.997346554773,32576.8296262,25028.239180091816
1,B1031,1892.0202794,1341.8478828,1327.1945239993404,689.9043446160301,550.1723966,0.29078567634299957,564.8257554006595,0.29853049755881994,1202.1159347839698,0.6353610201076632,2101.2215986,2080.1857188418544,2058.2614603971115,32576.8296262,25028.239180091816
2,B1028,2296.5363002,1203.3477441000002,1195.5706257881116,640.1651010254092,1093.1885560999997,0.4760162319249195,1100.9656744118884,0.47940268756736304,1656.3711991745909,0.7212475583470382,1653.9429206,1641.708550287773,1624.4056516949054,32576.8296262,25028.239180091816
3,B1014,2922.2442777999995,1475.6063265,1445.6439062066263,778.5290281531672,1446.6379512999995,0.4950434713107199,1476.6003715933732,0.50529669364432,2143.7152496468325,0.7335852330800765,1707.6830986,1720.9080046276592,1702.7703780151232,32576.8296262,25028.239180091816
4,B1016,3016.3631258,1523.7055692000004,1468.9483882587838,801.7794473575113,1492.6575565999997,0.4948534027063194,1547.4147375412163,0.5130067810157343,2214.5836784424887,0.734190011640305,1655.141999,1683.908308762856,1666.1606429539008,32576.8296262,25028.239180091816
5,B1027,2262.9879395,1196.8257357000002,1189.9718801640936,635.9771595381869,1066.1622037999996,0.471130307497602,1073.0160593359062,0.47415898273544743,1627.010779961813,0.7189657317932043,1679.7697202,1664.2956162084008,1646.7546597025942,32576.8296262,25028.239180091816
6,B1029,2261.7042848,1210.2843978,1202.9435973637987,640.3088447568733,1051.419887,0.46487946902084765,1058.7606874362014,0.468125163201796,1621.3954400431267,0.7168909971740646,1668.8831706,1655.3508724135727,1637.9041896415504,32576.8296262,25028.239180091816
7,B1015,2966.5421582999998,1480.9529277000001,1437.275812524665,813.1227942192575,1485.5892305999996,0.5007814321611826,1529.2663457753347,0.5155046731753486,2153.4193640807425,0.7259021612269203,1713.8976338000002,1712.6502737851472,1694.5996800867972,32576.8296262,25028.239180091816
8,B1018,3020.0280874,1507.0935042,1457.5447447968745,821.7471718727129,1512.9345832,0.5009670570655236,1562.4833426031255,0.5173737784499539,2198.280915527287,0.7279008181078969,1642.3326464000002,1645.4702007407275,1628.1276559778266,32576.8296262,25028.239180091816
9,B1021,2883.9681293,1535.0309217,1484.9455341090368,820.9969479001738,1348.9372076,0.467736516882874,1399.022595190963,0.48510334804931965,2062.971181399826,0.7153238485685183,1642.0537662,1646.3645296693385,1629.0125590660487,32576.8296262,25028.239180091816
10,B1026,2327.5035794,1110.9739041,1108.4676846772475,609.1829899722024,1216.5296753,0.5226757484143614,1219.0358947227526,0.5237525327617344,1718.3205894277976,0.738267646346975,2033.0924314,1999.0482770827755,1977.9791722075238,32576.8296262,25028.239180091816
11,B1020,2855.9388981,1499.8976145000001,1460.5327707647707,810.0770206600887,1356.0412836,0.4748145292961791,1395.4061273352295,0.4885980327742886,2045.8618774399115,0.716353518207614,1741.22939,1741.3095257448651,1722.9568759170518,32576.8296262,25028.239180091816
12,B1024,2277.1485076999998,1147.4034264,1144.643249745417,623.5774488237353,1129.7450812999998,0.4961227067447973,1132.5052579545827,0.49733482648369426,1653.5710588762645,0.7261586380004831,1975.6784787,1949.3339447541068,1928.7888074556486,32576.8296262,25028.239180091816
13,B1017,2851.3779584999993,1450.7463348,1409.776804464239,773.4798953397494,1400.6316236999992,0.4912121942742441,1441.6011540357604,0.5055805210734432,2077.89806316025,0.7287347006965545,1596.4775617999999,1612.8646726877996,1595.8657760988501,32576.8296262,25028.239180091816
14,B1013,2889.2659553999997,1380.6281961,1363.7138128141255,763.8736611729714,1508.6377592999997,0.522152609897464,1525.5521425858742,0.5280068246173868,2125.3922942270283,0.7356167023166207,1777.9582162999998,1761.3610920639187,1742.7971073931544,32576.8296262,25028.239180091816
15,B1023,2253.2371344,1173.1785156,1168.1827206407143,620.9838386956794,1080.0586187999997,0.47933641883973377,1085.0544137592856,0.4815535822634211,1632.2532957043204,0.7244036904881574,1929.3992309,1928.4661081411093,1908.1409088217176,32576.8296262,25028.239180091816
16,B1030,2252.1565786,1222.6730400000001,1215.126128692991,643.6187157998393,1029.4835386,0.45711010876515257,1037.0304499070091,0.4604610797317008,1608.5378628001608,0.7142211505560907,1685.0954711,1671.389352205522,1653.7736307881353,32576.8296262,25028.239180091816
17,B1019,2963.5186283000003,1511.4449583,1463.921390171018,791.6097713417422,1452.0736700000002,0.48998297366295657,1499.5972381289823,0.5060191705254152,2171.908856958258,0.7328817967323381,1543.5709268,1562.0603315239894,1545.5968907338665,32576.8296262,25028.239180091816
18,B1025,2321.9132148999997,1196.6156351999998,1188.3239399273928,638.8328754353963,1125.2975797,0.4846423942457575,1133.589274972607,0.4882134559113694,1683.0803394646034,0.7248678928497724,1614.2575152000002,1604.1510018450351,1587.2439435808221,32576.8296262,25028.239180091816
