,Name,GRID_kWh,GRID_v_kWh,PV_roofs_top_E_kWh,PV_roofs_top_m2,Enet,PV_Power_W,PV_Investment_€,E_PV_gen_kWh
2011-01-01 00:00:00,B1705,0.324,0.0,0.0,95.76,0.324,15321.6,16853.760000000002,0.0
2011-01-01 01:00:00,B1705,0.324,0.0,0.0,95.76,0.324,15321.6,16853.760000000002,0.0
2011-01-01 02:00:00,B1705,0.324,0.0,0.0,95.76,0.324,15321.6,16853.760000000002,0.0
2011-01-01 03:00:00,B1705,0.324,0.0,0.0,95.76,0.324,15321.6,16853.760000000002,0.0
2011-01-01 04:00:00,B1705,0.324,0.0,0.0,95.76,0.324,15321.6,16853.760000000002,0.0
2011-01-01 05:00:00,B1705,0.583,0.0,0.0,95.76,0.583,15321.6,16853.760000000002,0.0
2011-01-01 06:00:00,B1705,2.141,0.0,0.0,95.76,2.141,15321.6,16853.760000000002,0.0
2011-01-01 07:00:00,B1705,0.586,0.0,0.0,95.76,0.586,15321.6,16853.760000000002,0.0
2011-01-01 08:00:00,B1705,2.727,2.4,0.0,95.76,2.727,15321.6,16853.760000000002,0.0
2011-01-01 09:00:00,B1705,2.727,2.4,0.84,95.76,1.7169999999999999,15321.6,16853.760000000002,1.01
2011-01-01 10:00:00,B1705,2.727,2.4,1.14,95.76,1.277,15321.6,16853.760000000002,1.45
2011-01-01 11:00:00,B1705,2.727,2.4,1.28,95.76,1.1269999999999998,15321.6,16853.760000000002,1.6
2011-01-01 12:00:00,B1705,4.541,2.4,1.34,95.76,2.9110000000000005,15321.6,16853.760000000002,1.63
2011-01-01 13:00:00,B1705,0.586,0.0,1.27,95.76,-0.934,15321.6,16853.760000000002,1.52
2011-01-01 14:00:00,B1705,0.326,0.0,0.99,95.76,-0.8739999999999999,15321.6,16853.760000000002,1.2
2011-01-01 15:00:00,B1705,0.326,0.0,0.78,95.76,-0.6139999999999999,15321.6,16853.760000000002,0.94
2011-01-01 16:00:00,B1705,0.326,0.0,0.0,95.76,0.266,15321.6,16853.760000000002,0.06
2011-01-01 17:00:00,B1705,0.586,0.0,0.0,95.76,0.586,15321.6,16853.760000000002,0.0
2011-01-01 18:00:00,B1705,2.141,0.0,0.0,95.76,2.141,15321.6,16853.760000000002,0.0
2011-01-01 19:00:00,B1705,2.659,0.0,0.0,95.76,2.659,15321.6,16853.760000000002,0.0
2011-01-01 20:00:00,B1705,0.586,0.0,0.0,95.76,0.586,15321.6,16853.760000000002,0.0
2011-01-01 21:00:00,B1705,0.583,0.0,0.0,95.76,0.583,15321.6,16853.760000000002,0.0
2011-01-01 22:00:00,B1705,0.583,0.0,0.0,95.76,0.583,15321.6,16853.760000000002,0.0
2011-01-01 23:00:00,B1705,0.324,0.0,0.0,95.76,0.324,15321.6,16853.760000000002,0.0
2011-01-02 00:00:00,B1705,0.324,0.0,0.0,95.76,0.324,15321.6,16853.760000000002,0.0
2011-01-02 01:00:00,B1705,0.324,0.0,0.0,95.76,0.324,15321.6,16853.760000000002,0.0
2011-01-02 02:00:00,B1705,0.324,0.0,0.0,95.76,0.324,15321.6,16853.760000000002,0.0
2011-01-02 03:00:00,B1705,0.324,0.0,0.0,95.76,0.324,15321.6,16853.760000000002,0.0
2011-01-02 04:00:00,B1705,0.324,0.0,0.0,95.76,0.324,15321.6,16853.760000000002,0.0
2011-01-02 05:00:00,B1705,0.583,0.0,0.0,95.76,0.583,15321.6,16853.760000000002,0.0
2011-01-02 06:00:00,B1705,2.141,0.0,0.0,95.76,2.141,15321.6,16853.760000000002,0.0
2011-01-02 07:00:00,B1705,0.586,0.0,0.0,95.76,0.586,15321.6,16853.760000000002,0.0
2011-01-02 08:00:00,B1705,2.727,2.4,0.0,95.76,2.727,15321.6,16853.760000000002,0.0
2011-01-02 09:00:00,B1705,2.727,2.4,1.14,95.76,1.4069999999999998,15321.6,16853.760000000002,1.32
2011-01-02 10:00:00,B1705,2.727,2.4,1.7,95.76,0.7069999999999999,15321.6,16853.760000000002,2.02
