,Building,Ecost_base (€),Ecost_SC (€),Ecost_EC (€),Ecost_EC_BESS (€),Savings_SC (€),Savings_SC (%),Savings_EC (€),Savings_EC (%),Savings_EC_BESS (€),Savings_EC_BESS (%),Income_PV_SC(€),Income_PV_EC(€),Income_PV_EC_B(€),incomeEC_total,incomeEC_b_total,PV_Power_W,PV_Investment_€
0,B3075,1641.3326002,973.4584221,957.8003516899007,428.1983086364118,667.8741780999999,0.40690971349659294,683.5322485100992,0.41644956569241925,1213.134291563588,0.7391154549758928,1001.526066,968.712368192091,915.8395469663834,5275416.328113,2804327.871184995,15432.0,16975.2
1,B1928,2940.9156045,1701.3540807,1699.259730290813,723.5126237197122,1239.5615238,0.421488301773537,1241.655874209187,0.42220044407574464,2217.4029807802876,0.753983887666603,2403.1814424,2327.9316394986818,2200.8719286470546,5275416.328113,2804327.871184995,35566.4,39123.04000000001
2,B3305,736.1374243999999,594.7962885000001,447.44165915521046,224.28928742704272,141.3411358999998,0.19200373627954329,288.6957652447894,0.39217645466143136,511.84813697295715,0.6953160103090084,61.0514923,56.96610208779925,53.85686282286155,5275416.328113,2804327.871184995,665.6,732.1600000000001
3,B3479,1091.3581920000001,700.5149451000001,648.3023459106726,303.6813680537561,390.84324690000005,0.35812554463328755,443.0558460893276,0.4059673985471193,787.676823946244,0.7217399655953138,401.9344291,386.25901467894363,365.1767982228324,5275416.328113,2804327.871184995,6297.6,6927.360000000001
4,B2401,1455.4421766,883.2206718,858.0424341772374,387.6139466166792,572.2215048,0.3931599028803354,597.3997424227626,0.4104592762443673,1067.8282299833209,0.7336795972738893,748.0175849,723.4379362279618,683.952320140018,5275416.328113,2804327.871184995,11966.4,13163.040000000005
5,B3727,1780.8249772000001,1049.6653803,1039.5524973657114,458.2247828799797,731.1595969000002,0.41057352983087986,741.2724798342888,0.41625229279959625,1322.6001943200204,0.7426896024333347,1132.2720507,1092.8985969500648,1033.247627238373,5275416.328113,2804327.871184995,17150.4,18865.44
6,B2904,1535.2728666,968.2997877,923.4749604549392,413.72700225306676,566.9730789,0.3692979217144721,611.7979061450609,0.39849457347601175,1121.5458643469333,0.7305189121401575,540.103609,526.5463493092421,497.8071776952424,5275416.328113,2804327.871184995,9537.6,10491.36
7,B3943,2208.278668,1284.2251686000002,1279.0914382075582,556.786139891952,924.0534993999997,0.4184496788337403,929.1872297924417,0.4207744444834902,1651.492528108048,0.7478641858202508,1612.0142697,1561.6087103730033,1476.3753006642432,5275416.328113,2804327.871184995,24212.800000000003,26634.080000000005
8,B1898,2315.3952123999998,1343.0353482000003,1340.1366949845058,576.5479184757522,972.3598641999995,0.41995416548871134,975.258517415494,0.4212060697856413,1738.8472939242474,0.7509937329972548,1761.6305471,1698.370645966504,1605.6726991995336,5275416.328113,2804327.871184995,25473.6,28020.960000000006
9,B3181,6038.4605108000005,3526.42896,3522.2877999087864,1457.8495737806286,2512.0315508000003,0.4160052957715204,2516.172710891214,0.41669109310079117,4580.610937019372,0.7585726409615144,5107.1296188,4947.738363624251,4677.688249099848,5275416.328113,2804327.871184995,76974.4,84671.84
10,B1231,7699.317833,4506.3538119,4500.992589053052,1852.9979854958601,3192.9640210999996,0.41470739231138837,3198.325243946948,0.4154037167083329,5846.31984750414,0.7593295892327322,6705.0398874,6488.624473661444,6134.471999654193,5275416.328113,2804327.871184995,101014.4,111115.84000000004
11,B2429,2488.7045852,1458.0870543,1453.1226254415371,624.3887106298142,1030.6175309,0.4141180664948935,1035.581959758463,0.4161128508047653,1864.3158745701858,0.749110957426216,1816.7850603000002,1771.8333299973772,1675.125752005429,5275416.328113,2804327.871184995,28201.6,31021.76
12,B1559,807.0251142000001,610.311438,485.8765460172682,239.26737217889772,196.71367620000012,0.24375161657143893,321.1485681827319,0.39794123197898845,567.7577420211023,0.7035192982611423,139.43864480000002,130.62120791834155,123.49183494724824,5275416.328113,2804327.871184995,1779.1999999999998,1957.12
13,B3378,800.436035,617.3811234,484.769700084471,239.01990533894383,183.05491159999997,0.22869399126939605,315.6663349155289,0.394367970846701,561.4161296610562,0.7013878749987265,105.7250262,99.94410749964166,94.48910650873492,5275416.328113,2804327.871184995,1600.0,1760.0000000000002
14,B1861,3820.7555526999995,2211.0773741999997,2209.02922004594,931.0909385316027,1609.6781784999998,0.4212983940735215,1611.7263326540597,0.42183445405584946,2889.664614168397,0.7563071163048806,3294.298518,3197.2289304759365,3022.7225246434123,5275416.328113,2804327.871184995,49118.4,54030.240000000005
