,Name,GRID_kWh,GRID_v_kWh,PV_roofs_top_E_kWh,PV_roofs_top_m2,Enet,PV_Power_W,PV_Investment_€,E_PV_gen_kWh
2011-01-01 00:00:00,B1384,1.174,0.0,0.0,281.51,1.174,45041.6,49545.76,0.0
2011-01-01 01:00:00,B1384,1.174,0.0,0.0,281.51,1.174,45041.6,49545.76,0.0
2011-01-01 02:00:00,B1384,1.174,0.0,0.0,281.51,1.174,45041.6,49545.76,0.0
2011-01-01 03:00:00,B1384,1.174,0.0,0.0,281.51,1.174,45041.6,49545.76,0.0
2011-01-01 04:00:00,B1384,1.174,0.0,0.0,281.51,1.174,45041.6,49545.76,0.0
2011-01-01 05:00:00,B1384,2.114,0.0,0.0,281.51,2.114,45041.6,49545.76,0.0
2011-01-01 06:00:00,B1384,7.757,0.0,0.0,281.51,7.757,45041.6,49545.76,0.0
2011-01-01 07:00:00,B1384,2.121,0.0,0.0,281.51,2.121,45041.6,49545.76,0.0
2011-01-01 08:00:00,B1384,3.582,2.4,0.0,281.51,3.582,45041.6,49545.76,0.0
2011-01-01 09:00:00,B1384,3.582,2.4,1.89,281.51,1.4219999999999997,45041.6,49545.76,2.16
2011-01-01 10:00:00,B1384,3.582,2.4,3.02,281.51,0.21199999999999974,45041.6,49545.76,3.37
2011-01-01 11:00:00,B1384,3.582,2.4,3.22,281.51,-0.018000000000000238,45041.6,49545.76,3.6
2011-01-01 12:00:00,B1384,10.158,2.4,3.42,281.51,6.327999999999999,45041.6,49545.76,3.83
2011-01-01 13:00:00,B1384,2.121,0.0,3.28,281.51,-1.569,45041.6,49545.76,3.69
2011-01-01 14:00:00,B1384,1.182,0.0,2.56,281.51,-1.718,45041.6,49545.76,2.9
2011-01-01 15:00:00,B1384,1.181,0.0,1.94,281.51,-1.0390000000000001,45041.6,49545.76,2.22
2011-01-01 16:00:00,B1384,1.182,0.0,0.0,281.51,1.0719999999999998,45041.6,49545.76,0.11
2011-01-01 17:00:00,B1384,2.121,0.0,0.0,281.51,2.121,45041.6,49545.76,0.0
2011-01-01 18:00:00,B1384,7.759,0.0,0.0,281.51,7.759,45041.6,49545.76,0.0
2011-01-01 19:00:00,B1384,9.631,0.0,0.0,281.51,9.631,45041.6,49545.76,0.0
2011-01-01 20:00:00,B1384,2.121,0.0,0.0,281.51,2.121,45041.6,49545.76,0.0
2011-01-01 21:00:00,B1384,2.114,0.0,0.0,281.51,2.114,45041.6,49545.76,0.0
2011-01-01 22:00:00,B1384,2.114,0.0,0.0,281.51,2.114,45041.6,49545.76,0.0
2011-01-01 23:00:00,B1384,1.175,0.0,0.0,281.51,1.175,45041.6,49545.76,0.0
2011-01-02 00:00:00,B1384,1.175,0.0,0.0,281.51,1.175,45041.6,49545.76,0.0
2011-01-02 01:00:00,B1384,1.174,0.0,0.0,281.51,1.174,45041.6,49545.76,0.0
2011-01-02 02:00:00,B1384,1.174,0.0,0.0,281.51,1.174,45041.6,49545.76,0.0
2011-01-02 03:00:00,B1384,1.174,0.0,0.0,281.51,1.174,45041.6,49545.76,0.0
2011-01-02 04:00:00,B1384,1.174,0.0,0.0,281.51,1.174,45041.6,49545.76,0.0
2011-01-02 05:00:00,B1384,2.114,0.0,0.0,281.51,2.114,45041.6,49545.76,0.0
2011-01-02 06:00:00,B1384,7.757,0.0,0.0,281.51,7.757,45041.6,49545.76,0.0
2011-01-02 07:00:00,B1384,2.121,0.0,0.0,281.51,2.121,45041.6,49545.76,0.0
2011-01-02 08:00:00,B1384,3.582,2.4,0.0,281.51,3.582,45041.6,49545.76,0.0
2011-01-02 09:00:00,B1384,3.582,2.4,2.11,281.51,1.2519999999999998,45041.6,49545.76,2.33
2011-01-02 10:00:00,B1384,3.582,2.4,3.57,281.51,-0.29800000000000004,45041.6,49545.76,3.88
2011-01-02 11:00:00,B1384,3.583,2.4,4.68,281.51,-1.4969999999999999,45041.6,49545.76,5.08
2011-01-02 12:00:00,B1384,10.158,2.4,4.46,281.51,5.257999999999999,45041.6,49545.76,4.9
2011-01-02 13:00:00,B1384,2.122,0.0,3.43,281.51,-1.698,45041.6,49545.76,3.82
