,Name,GRID_kWh,GRID_v_kWh,PV_roofs_top_E_kWh,PV_roofs_top_m2,Enet,PV_Power_W,PV_Investment_€,E_PV_gen_kWh
2011-01-01 00:00:00,Alegria_Ernesto5,0.153,0.0,0.0,65.63,0.153,10500.8,11550.880000000001,0.0
2011-01-01 01:00:00,Alegria_Ernesto5,0.153,0.0,0.0,65.63,0.153,10500.8,11550.880000000001,0.0
2011-01-01 02:00:00,Alegria_Ernesto5,0.153,0.0,0.0,65.63,0.153,10500.8,11550.880000000001,0.0
2011-01-01 03:00:00,Alegria_Ernesto5,0.153,0.0,0.0,65.63,0.153,10500.8,11550.880000000001,0.0
2011-01-01 04:00:00,Alegria_Ernesto5,0.153,0.0,0.0,65.63,0.153,10500.8,11550.880000000001,0.0
2011-01-01 05:00:00,Alegria_Ernesto5,0.153,0.0,0.0,65.63,0.153,10500.8,11550.880000000001,0.0
2011-01-01 06:00:00,Alegria_Ernesto5,0.212,0.0,0.0,65.63,0.212,10500.8,11550.880000000001,0.0
2011-01-01 07:00:00,Alegria_Ernesto5,1.683,0.0,0.0,65.63,1.683,10500.8,11550.880000000001,0.0
2011-01-01 08:00:00,Alegria_Ernesto5,1.559,0.0,0.0,65.63,1.559,10500.8,11550.880000000001,0.0
2011-01-01 09:00:00,Alegria_Ernesto5,1.485,0.0,0.64,65.63,-0.7150000000000001,10500.8,11550.880000000001,2.2
2011-01-01 10:00:00,Alegria_Ernesto5,1.28,0.0,0.9,65.63,-1.68,10500.8,11550.880000000001,2.96
2011-01-01 11:00:00,Alegria_Ernesto5,1.702,0.0,0.89,65.63,-1.278,10500.8,11550.880000000001,2.98
2011-01-01 12:00:00,Alegria_Ernesto5,0.85,0.0,0.92,65.63,-2.1799999999999997,10500.8,11550.880000000001,3.03
2011-01-01 13:00:00,Alegria_Ernesto5,0.778,0.0,0.88,65.63,-1.952,10500.8,11550.880000000001,2.73
2011-01-01 14:00:00,Alegria_Ernesto5,0.758,0.0,0.69,65.63,-1.262,10500.8,11550.880000000001,2.02
2011-01-01 15:00:00,Alegria_Ernesto5,0.763,0.0,0.54,65.63,-0.6869999999999999,10500.8,11550.880000000001,1.45
2011-01-01 16:00:00,Alegria_Ernesto5,0.861,0.0,0.0,65.63,0.601,10500.8,11550.880000000001,0.26
2011-01-01 17:00:00,Alegria_Ernesto5,0.944,0.0,0.0,65.63,0.944,10500.8,11550.880000000001,0.0
2011-01-01 18:00:00,Alegria_Ernesto5,1.034,0.0,0.0,65.63,1.034,10500.8,11550.880000000001,0.0
2011-01-01 19:00:00,Alegria_Ernesto5,2.381,0.0,0.0,65.63,2.381,10500.8,11550.880000000001,0.0
2011-01-01 20:00:00,Alegria_Ernesto5,1.306,0.0,0.0,65.63,1.306,10500.8,11550.880000000001,0.0
2011-01-01 21:00:00,Alegria_Ernesto5,1.32,0.0,0.0,65.63,1.32,10500.8,11550.880000000001,0.0
2011-01-01 22:00:00,Alegria_Ernesto5,1.329,0.0,0.0,65.63,1.329,10500.8,11550.880000000001,0.0
2011-01-01 23:00:00,Alegria_Ernesto5,1.014,0.0,0.0,65.63,1.014,10500.8,11550.880000000001,0.0
2011-01-02 00:00:00,Alegria_Ernesto5,0.153,0.0,0.0,65.63,0.153,10500.8,11550.880000000001,0.0
2011-01-02 01:00:00,Alegria_Ernesto5,0.153,0.0,0.0,65.63,0.153,10500.8,11550.880000000001,0.0
2011-01-02 02:00:00,Alegria_Ernesto5,0.153,0.0,0.0,65.63,0.153,10500.8,11550.880000000001,0.0
2011-01-02 03:00:00,Alegria_Ernesto5,0.153,0.0,0.0,65.63,0.153,10500.8,11550.880000000001,0.0
