,Name,GRID_kWh,GRID_v_kWh,PV_roofs_top_E_kWh,PV_roofs_top_m2,Enet,PV_Power_W,PV_Investment_€,E_PV_gen_kWh
2011-01-01 00:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-01 01:00:00,AugustoTroni3,1.001,0.0,0.0,195.81,1.001,31329.6,34462.56,0.0
2011-01-01 02:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-01 03:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-01 04:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-01 05:00:00,AugustoTroni3,1.001,0.0,0.0,195.81,1.001,31329.6,34462.56,0.0
2011-01-01 06:00:00,AugustoTroni3,1.517,0.0,0.0,195.81,1.517,31329.6,34462.56,0.0
2011-01-01 07:00:00,AugustoTroni3,5.934,0.0,0.0,195.81,5.934,31329.6,34462.56,0.0
2011-01-01 08:00:00,AugustoTroni3,5.643,0.0,0.0,195.81,5.643,31329.6,34462.56,0.0
2011-01-01 09:00:00,AugustoTroni3,5.975,0.0,1.92,195.81,0.625,31329.6,34462.56,5.35
2011-01-01 10:00:00,AugustoTroni3,5.32,0.0,2.68,195.81,-3.3100000000000005,31329.6,34462.56,8.63
2011-01-01 11:00:00,AugustoTroni3,9.662,0.0,2.65,195.81,-0.8079999999999998,31329.6,34462.56,10.47
2011-01-01 12:00:00,AugustoTroni3,3.21,0.0,2.74,195.81,-9.32,31329.6,34462.56,12.53
2011-01-01 13:00:00,AugustoTroni3,2.716,0.0,2.61,195.81,-10.924,31329.6,34462.56,13.64
2011-01-01 14:00:00,AugustoTroni3,2.539,0.0,2.04,195.81,-9.901,31329.6,34462.56,12.44
2011-01-01 15:00:00,AugustoTroni3,2.658,0.0,1.6,195.81,-8.142000000000001,31329.6,34462.56,10.8
2011-01-01 16:00:00,AugustoTroni3,3.194,0.0,0.0,195.81,-0.40600000000000014,31329.6,34462.56,3.6
2011-01-01 17:00:00,AugustoTroni3,3.514,0.0,0.0,195.81,3.514,31329.6,34462.56,0.0
2011-01-01 18:00:00,AugustoTroni3,4.27,0.0,0.0,195.81,4.27,31329.6,34462.56,0.0
2011-01-01 19:00:00,AugustoTroni3,15.323,0.0,0.0,195.81,15.323,31329.6,34462.56,0.0
2011-01-01 20:00:00,AugustoTroni3,5.343,0.0,0.0,195.81,5.343,31329.6,34462.56,0.0
2011-01-01 21:00:00,AugustoTroni3,5.449,0.0,0.0,195.81,5.449,31329.6,34462.56,0.0
2011-01-01 22:00:00,AugustoTroni3,5.531,0.0,0.0,195.81,5.531,31329.6,34462.56,0.0
2011-01-01 23:00:00,AugustoTroni3,3.496,0.0,0.0,195.81,3.496,31329.6,34462.56,0.0
2011-01-02 00:00:00,AugustoTroni3,1.001,0.0,0.0,195.81,1.001,31329.6,34462.56,0.0
2011-01-02 01:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-02 02:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-02 03:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-02 04:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-02 05:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-02 06:00:00,AugustoTroni3,1.001,0.0,0.0,195.81,1.001,31329.6,34462.56,0.0
2011-01-02 07:00:00,AugustoTroni3,7.08,0.0,0.0,195.81,7.08,31329.6,34462.56,0.0
2011-01-02 08:00:00,AugustoTroni3,6.789,0.0,0.0,195.81,6.789,31329.6,34462.56,0.0
2011-01-02 09:00:00,AugustoTroni3,7.645,0.0,2.52,195.81,1.335,31329.6,34462.56,6.31
2011-01-02 10:00:00,AugustoTroni3,7.006,0.0,3.78,195.81,-3.5139999999999993,31329.6,34462.56,10.52
2011-01-02 11:00:00,AugustoTroni3,10.341,0.0,4.58,195.81,-4.279,31329.6,34462.56,14.62
2011-01-02 12:00:00,AugustoTroni3,4.34,0.0,3.87,195.81,-10.96,31329.6,34462.56,15.3
2011-01-02 13:00:00,AugustoTroni3,3.795,0.0,2.8,195.81,-9.915000000000001,31329.6,34462.56,13.71
2011-01-02 14:00:00,AugustoTroni3,3.73,0.0,2.45,195.81,-8.76,31329.6,34462.56,12.49
2011-01-02 15:00:00,AugustoTroni3,4.177,0.0,1.55,195.81,-3.4030000000000005,31329.6,34462.56,7.58
2011-01-02 16:00:00,AugustoTroni3,4.496,0.0,0.0,195.81,4.496,31329.6,34462.56,0.0
2011-01-02 17:00:00,AugustoTroni3,4.582,0.0,0.0,195.81,4.582,31329.6,34462.56,0.0
2011-01-02 18:00:00,AugustoTroni3,4.516,0.0,0.0,195.81,4.516,31329.6,34462.56,0.0
2011-01-02 19:00:00,AugustoTroni3,14.48,0.0,0.0,195.81,14.48,31329.6,34462.56,0.0
2011-01-02 20:00:00,AugustoTroni3,6.148,0.0,0.0,195.81,6.148,31329.6,34462.56,0.0
2011-01-02 21:00:00,AugustoTroni3,6.187,0.0,0.0,195.81,6.187,31329.6,34462.56,0.0
2011-01-02 22:00:00,AugustoTroni3,6.373,0.0,0.0,195.81,6.373,31329.6,34462.56,0.0
2011-01-02 23:00:00,AugustoTroni3,4.8,0.0,0.0,195.81,4.8,31329.6,34462.56,0.0
2011-01-03 00:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-03 01:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-03 02:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-03 03:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-03 04:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-03 05:00:00,AugustoTroni3,1.002,0.0,0.0,195.81,1.002,31329.6,34462.56,0.0
2011-01-03 06:00:00,AugustoTroni3,2.645,0.0,0.0,195.81,2.645,31329.6,34462.56,0.0
2011-01-03 07:00:00,AugustoTroni3,8.473,0.0,0.0,195.81,8.473,31329.6,34462.56,0.0
2011-01-03 08:00:00,AugustoTroni3,8.078,0.0,0.0,195.81,8.078,31329.6,34462.56,0.0
2011-01-03 09:00:00,AugustoTroni3,5.751,0.0,2.17,195.81,0.7210000000000001,31329.6,34462.56,5.03
2011-01-03 10:00:00,AugustoTroni3,1.189,0.0,3.15,195.81,-7.111000000000001,31329.6,34462.56,8.3
2011-01-03 11:00:00,AugustoTroni3,1.606,0.0,3.95,195.81,-9.574,31329.6,34462.56,11.18
2011-01-03 12:00:00,AugustoTroni3,1.19,0.0,4.32,195.81,-12.43,31329.6,34462.56,13.62
2011-01-03 13:00:00,AugustoTroni3,1.19,0.0,3.91,195.81,-13.14,31329.6,34462.56,14.33
2011-01-03 14:00:00,AugustoTroni3,1.189,0.0,3.12,195.81,-11.981,31329.6,34462.56,13.17
2011-01-03 15:00:00,AugustoTroni3,1.189,0.0,1.99,195.81,-8.771,31329.6,34462.56,9.96
2011-01-03 16:00:00,AugustoTroni3,1.189,0.0,0.0,195.81,-1.5909999999999997,31329.6,34462.56,2.78
2011-01-03 17:00:00,AugustoTroni3,5.877,0.0,0.0,195.81,5.877,31329.6,34462.56,0.0
2011-01-03 18:00:00,AugustoTroni3,6.299,0.0,0.0,195.81,6.299,31329.6,34462.56,0.0
2011-01-03 19:00:00,AugustoTroni3,15.886,0.0,0.0,195.81,15.886,31329.6,34462.56,0.0
2011-01-03 20:00:00,AugustoTroni3,7.102,0.0,0.0,195.81,7.102,31329.6,34462.56,0.0
2011-01-03 21:00:00,AugustoTroni3,7.087,0.0,0.0,195.81,7.087,31329.6,34462.56,0.0
2011-01-03 22:00:00,AugustoTroni3,6.926,0.0,0.0,195.81,6.926,31329.6,34462.56,0.0
2011-01-03 23:00:00,AugustoTroni3,4.561,0.0,0.0,195.81,4.561,31329.6,34462.56,0.0
2011-01-04 00:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-04 01:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-04 02:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-04 03:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-04 04:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-04 05:00:00,AugustoTroni3,1.002,0.0,0.0,195.81,1.002,31329.6,34462.56,0.0
2011-01-04 06:00:00,AugustoTroni3,2.645,0.0,0.0,195.81,2.645,31329.6,34462.56,0.0
2011-01-04 07:00:00,AugustoTroni3,7.601,0.0,0.0,195.81,7.601,31329.6,34462.56,0.0
2011-01-04 08:00:00,AugustoTroni3,7.199,0.0,0.0,195.81,7.199,31329.6,34462.56,0.0
2011-01-04 09:00:00,AugustoTroni3,4.812,0.0,1.88,195.81,-0.1379999999999999,31329.6,34462.56,4.95
2011-01-04 10:00:00,AugustoTroni3,1.189,0.0,2.52,195.81,-6.721,31329.6,34462.56,7.91
2011-01-04 11:00:00,AugustoTroni3,1.606,0.0,3.39,195.81,-10.014,31329.6,34462.56,11.62
2011-01-04 12:00:00,AugustoTroni3,1.19,0.0,3.73,195.81,-12.030000000000001,31329.6,34462.56,13.22
2011-01-04 13:00:00,AugustoTroni3,1.19,0.0,3.11,195.81,-11.940000000000001,31329.6,34462.56,13.13
2011-01-04 14:00:00,AugustoTroni3,1.189,0.0,2.64,195.81,-12.031,31329.6,34462.56,13.22
2011-01-04 15:00:00,AugustoTroni3,1.189,0.0,1.92,195.81,-8.641,31329.6,34462.56,9.83
2011-01-04 16:00:00,AugustoTroni3,1.189,0.0,0.0,195.81,-1.1309999999999998,31329.6,34462.56,2.32
2011-01-04 17:00:00,AugustoTroni3,4.487,0.0,0.0,195.81,4.487,31329.6,34462.56,0.0
2011-01-04 18:00:00,AugustoTroni3,5.143,0.0,0.0,195.81,5.143,31329.6,34462.56,0.0
2011-01-04 19:00:00,AugustoTroni3,15.886,0.0,0.0,195.81,15.886,31329.6,34462.56,0.0
2011-01-04 20:00:00,AugustoTroni3,5.791,0.0,0.0,195.81,5.791,31329.6,34462.56,0.0
2011-01-04 21:00:00,AugustoTroni3,5.629,0.0,0.0,195.81,5.629,31329.6,34462.56,0.0
2011-01-04 22:00:00,AugustoTroni3,5.451,0.0,0.0,195.81,5.451,31329.6,34462.56,0.0
2011-01-04 23:00:00,AugustoTroni3,3.146,0.0,0.0,195.81,3.146,31329.6,34462.56,0.0
2011-01-05 00:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-05 01:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-05 02:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-05 03:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-05 04:00:00,AugustoTroni3,1.0,0.0,0.0,195.81,1.0,31329.6,34462.56,0.0
2011-01-05 05:00:00,AugustoTroni3,1.002,0.0,0.0,195.81,1.002,31329.6,34462.56,0.0
2011-01-05 06:00:00,AugustoTroni3,2.645,0.0,0.0,195.81,2.645,31329.6,34462.56,0.0
2011-01-05 07:00:00,AugustoTroni3,5.417,0.0,0.0,195.81,5.417,31329.6,34462.56,0.0
2011-01-05 08:00:00,AugustoTroni3,5.274,0.0,0.0,195.81,5.274,31329.6,34462.56,0.0
2011-01-05 09:00:00,AugustoTroni3,3.223,0.0,1.87,195.81,-0.367,31329.6,34462.56,3.59
2011-01-05 10:00:00,AugustoTroni3,1.189,0.0,2.33,195.81,-5.001,31329.6,34462.56,6.19
2011-01-05 11:00:00,AugustoTroni3,1.606,0.0,2.25,195.81,-4.884,31329.6,34462.56,6.49
2011-01-05 12:00:00,AugustoTroni3,1.19,0.0,2.42,195.81,-5.83,31329.6,34462.56,7.02
2011-01-05 13:00:00,AugustoTroni3,1.19,0.0,2.34,195.81,-6.470000000000001,31329.6,34462.56,7.66
2011-01-05 14:00:00,AugustoTroni3,1.189,0.0,1.77,195.81,-5.241,31329.6,34462.56,6.43
2011-01-05 15:00:00,AugustoTroni3,1.189,0.0,1.2,195.81,-3.941,31329.6,34462.56,5.13
2011-01-05 16:00:00,AugustoTroni3,1.189,0.0,0.0,195.81,0.18900000000000006,31329.6,34462.56,1.0
2011-01-05 17:00:00,AugustoTroni3,3.238,0.0,0.0,195.81,3.238,31329.6,34462.56,0.0
2011-01-05 18:00:00,AugustoTroni3,3.81,0.0,0.0,195.81,3.81,31329.6,34462.56,0.0
2011-01-05 19:00:00,AugustoTroni3,15.886,0.0,0.0,195.81,15.886,31329.6,34462.56,0.0
2011-01-05 20:00:00,AugustoTroni3,4.74,0.0,0.0,195.81,4.74,31329.6,34462.56,0.0
2011-01-05 21:00:00,AugustoTroni3,4.74,0.0,0.0,195.81,4.74,31329.6,34462.56,0.0
