,Name,GRID_kWh,GRID_v_kWh,PV_roofs_top_E_kWh,PV_roofs_top_m2,Enet,PV_Power_W,PV_Investment_€,E_PV_gen_kWh
2011-01-01 00:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-01 01:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-01 02:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-01 03:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-01 04:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-01 05:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-01 06:00:00,Boavista_2,0.402,0.0,0.0,105.07,0.402,16811.199999999997,18492.32,0.0
2011-01-01 07:00:00,Boavista_2,3.626,0.0,0.0,105.07,3.626,16811.199999999997,18492.32,0.0
2011-01-01 08:00:00,Boavista_2,3.381,0.0,0.0,105.07,3.381,16811.199999999997,18492.32,0.0
2011-01-01 09:00:00,Boavista_2,3.327,0.0,1.03,105.07,-0.8630000000000004,16811.199999999997,18492.32,4.19
2011-01-01 10:00:00,Boavista_2,2.788,0.0,1.44,105.07,-3.562,16811.199999999997,18492.32,6.35
2011-01-01 11:00:00,Boavista_2,3.796,0.0,1.43,105.07,-2.3640000000000003,16811.199999999997,18492.32,6.16
2011-01-01 12:00:00,Boavista_2,1.913,0.0,1.47,105.07,-3.707,16811.199999999997,18492.32,5.62
2011-01-01 13:00:00,Boavista_2,1.786,0.0,1.4,105.07,-2.754,16811.199999999997,18492.32,4.54
2011-01-01 14:00:00,Boavista_2,1.726,0.0,1.09,105.07,-1.4340000000000002,16811.199999999997,18492.32,3.16
2011-01-01 15:00:00,Boavista_2,1.672,0.0,0.86,105.07,-0.748,16811.199999999997,18492.32,2.42
2011-01-01 16:00:00,Boavista_2,1.833,0.0,0.0,105.07,1.193,16811.199999999997,18492.32,0.64
2011-01-01 17:00:00,Boavista_2,2.05,0.0,0.0,105.07,2.05,16811.199999999997,18492.32,0.0
2011-01-01 18:00:00,Boavista_2,2.174,0.0,0.0,105.07,2.174,16811.199999999997,18492.32,0.0
2011-01-01 19:00:00,Boavista_2,5.306,0.0,0.0,105.07,5.306,16811.199999999997,18492.32,0.0
2011-01-01 20:00:00,Boavista_2,2.863,0.0,0.0,105.07,2.863,16811.199999999997,18492.32,0.0
2011-01-01 21:00:00,Boavista_2,2.898,0.0,0.0,105.07,2.898,16811.199999999997,18492.32,0.0
2011-01-01 22:00:00,Boavista_2,2.917,0.0,0.0,105.07,2.917,16811.199999999997,18492.32,0.0
2011-01-01 23:00:00,Boavista_2,2.193,0.0,0.0,105.07,2.193,16811.199999999997,18492.32,0.0
2011-01-02 00:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-02 01:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-02 02:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-02 03:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-02 04:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-02 05:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-02 06:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-02 07:00:00,Boavista_2,4.281,0.0,0.0,105.07,4.281,16811.199999999997,18492.32,0.0
2011-01-02 08:00:00,Boavista_2,4.019,0.0,0.0,105.07,4.019,16811.199999999997,18492.32,0.0
2011-01-02 09:00:00,Boavista_2,4.083,0.0,1.35,105.07,-0.45699999999999985,16811.199999999997,18492.32,4.54
2011-01-02 10:00:00,Boavista_2,3.614,0.0,2.04,105.07,-3.6260000000000003,16811.199999999997,18492.32,7.24
2011-01-02 11:00:00,Boavista_2,4.688,0.0,2.47,105.07,-3.7619999999999996,16811.199999999997,18492.32,8.45
2011-01-02 12:00:00,Boavista_2,2.578,0.0,2.08,105.07,-4.422000000000001,16811.199999999997,18492.32,7.0
2011-01-02 13:00:00,Boavista_2,2.507,0.0,1.51,105.07,-2.163,16811.199999999997,18492.32,4.67
2011-01-02 14:00:00,Boavista_2,2.486,0.0,1.32,105.07,-0.964,16811.199999999997,18492.32,3.45
2011-01-02 15:00:00,Boavista_2,2.547,0.0,0.83,105.07,0.7970000000000002,16811.199999999997,18492.32,1.75
2011-01-02 16:00:00,Boavista_2,2.607,0.0,0.0,105.07,2.607,16811.199999999997,18492.32,0.0
2011-01-02 17:00:00,Boavista_2,2.694,0.0,0.0,105.07,2.694,16811.199999999997,18492.32,0.0
2011-01-02 18:00:00,Boavista_2,2.63,0.0,0.0,105.07,2.63,16811.199999999997,18492.32,0.0
2011-01-02 19:00:00,Boavista_2,5.469,0.0,0.0,105.07,5.469,16811.199999999997,18492.32,0.0
2011-01-02 20:00:00,Boavista_2,3.286,0.0,0.0,105.07,3.286,16811.199999999997,18492.32,0.0
2011-01-02 21:00:00,Boavista_2,3.276,0.0,0.0,105.07,3.276,16811.199999999997,18492.32,0.0
2011-01-02 22:00:00,Boavista_2,3.357,0.0,0.0,105.07,3.357,16811.199999999997,18492.32,0.0
2011-01-02 23:00:00,Boavista_2,2.881,0.0,0.0,105.07,2.881,16811.199999999997,18492.32,0.0
2011-01-03 00:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-03 01:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-03 02:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-03 03:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-03 04:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-03 05:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-03 06:00:00,Boavista_2,0.554,0.0,0.0,105.07,0.554,16811.199999999997,18492.32,0.0
2011-01-03 07:00:00,Boavista_2,4.69,0.0,0.0,105.07,4.69,16811.199999999997,18492.32,0.0
2011-01-03 08:00:00,Boavista_2,4.369,0.0,0.0,105.07,4.369,16811.199999999997,18492.32,0.0
2011-01-03 09:00:00,Boavista_2,3.539,0.0,1.16,105.07,0.019000000000000128,16811.199999999997,18492.32,3.52
2011-01-03 10:00:00,Boavista_2,0.452,0.0,1.7,105.07,-5.0280000000000005,16811.199999999997,18492.32,5.48
2011-01-03 11:00:00,Boavista_2,0.702,0.0,2.13,105.07,-5.648,16811.199999999997,18492.32,6.35
2011-01-03 12:00:00,Boavista_2,0.453,0.0,2.33,105.07,-6.087,16811.199999999997,18492.32,6.54
2011-01-03 13:00:00,Boavista_2,0.452,0.0,2.11,105.07,-5.098,16811.199999999997,18492.32,5.55
2011-01-03 14:00:00,Boavista_2,0.452,0.0,1.68,105.07,-3.6879999999999997,16811.199999999997,18492.32,4.14
2011-01-03 15:00:00,Boavista_2,0.452,0.0,1.07,105.07,-1.8279999999999998,16811.199999999997,18492.32,2.28
2011-01-03 16:00:00,Boavista_2,0.452,0.0,0.0,105.07,-0.068,16811.199999999997,18492.32,0.52
2011-01-03 17:00:00,Boavista_2,3.732,0.0,0.0,105.07,3.732,16811.199999999997,18492.32,0.0
2011-01-03 18:00:00,Boavista_2,3.586,0.0,0.0,105.07,3.586,16811.199999999997,18492.32,0.0
2011-01-03 19:00:00,Boavista_2,6.314,0.0,0.0,105.07,6.314,16811.199999999997,18492.32,0.0
2011-01-03 20:00:00,Boavista_2,3.867,0.0,0.0,105.07,3.867,16811.199999999997,18492.32,0.0
2011-01-03 21:00:00,Boavista_2,3.809,0.0,0.0,105.07,3.809,16811.199999999997,18492.32,0.0
2011-01-03 22:00:00,Boavista_2,3.692,0.0,0.0,105.07,3.692,16811.199999999997,18492.32,0.0
2011-01-03 23:00:00,Boavista_2,2.78,0.0,0.0,105.07,2.78,16811.199999999997,18492.32,0.0
2011-01-04 00:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-04 01:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-04 02:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-04 03:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-04 04:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-04 05:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-04 06:00:00,Boavista_2,0.554,0.0,0.0,105.07,0.554,16811.199999999997,18492.32,0.0
2011-01-04 07:00:00,Boavista_2,4.226,0.0,0.0,105.07,4.226,16811.199999999997,18492.32,0.0
2011-01-04 08:00:00,Boavista_2,3.912,0.0,0.0,105.07,3.912,16811.199999999997,18492.32,0.0
2011-01-04 09:00:00,Boavista_2,3.027,0.0,1.01,105.07,-0.6930000000000001,16811.199999999997,18492.32,3.72
2011-01-04 10:00:00,Boavista_2,0.452,0.0,1.36,105.07,-5.328,16811.199999999997,18492.32,5.78
2011-01-04 11:00:00,Boavista_2,0.702,0.0,1.83,105.07,-6.078,16811.199999999997,18492.32,6.78
2011-01-04 12:00:00,Boavista_2,0.453,0.0,2.01,105.07,-5.747,16811.199999999997,18492.32,6.2
2011-01-04 13:00:00,Boavista_2,0.452,0.0,1.68,105.07,-4.268,16811.199999999997,18492.32,4.72
2011-01-04 14:00:00,Boavista_2,0.452,0.0,1.42,105.07,-3.238,16811.199999999997,18492.32,3.69
2011-01-04 15:00:00,Boavista_2,0.452,0.0,1.03,105.07,-1.8479999999999999,16811.199999999997,18492.32,2.3
2011-01-04 16:00:00,Boavista_2,0.452,0.0,0.0,105.07,-0.01799999999999996,16811.199999999997,18492.32,0.47
2011-01-04 17:00:00,Boavista_2,3.03,0.0,0.0,105.07,3.03,16811.199999999997,18492.32,0.0
2011-01-04 18:00:00,Boavista_2,2.983,0.0,0.0,105.07,2.983,16811.199999999997,18492.32,0.0
2011-01-04 19:00:00,Boavista_2,5.655,0.0,0.0,105.07,5.655,16811.199999999997,18492.32,0.0
2011-01-04 20:00:00,Boavista_2,3.267,0.0,0.0,105.07,3.267,16811.199999999997,18492.32,0.0
2011-01-04 21:00:00,Boavista_2,3.122,0.0,0.0,105.07,3.122,16811.199999999997,18492.32,0.0
2011-01-04 22:00:00,Boavista_2,2.985,0.0,0.0,105.07,2.985,16811.199999999997,18492.32,0.0
2011-01-04 23:00:00,Boavista_2,2.09,0.0,0.0,105.07,2.09,16811.199999999997,18492.32,0.0
2011-01-05 00:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-05 01:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-05 02:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-05 03:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-05 04:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-05 05:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-05 06:00:00,Boavista_2,0.554,0.0,0.0,105.07,0.554,16811.199999999997,18492.32,0.0
2011-01-05 07:00:00,Boavista_2,3.14,0.0,0.0,105.07,3.14,16811.199999999997,18492.32,0.0
2011-01-05 08:00:00,Boavista_2,2.915,0.0,0.0,105.07,2.915,16811.199999999997,18492.32,0.0
2011-01-05 09:00:00,Boavista_2,2.224,0.0,1.0,105.07,-0.5559999999999996,16811.199999999997,18492.32,2.78
2011-01-05 10:00:00,Boavista_2,0.452,0.0,1.26,105.07,-3.628,16811.199999999997,18492.32,4.08
2011-01-05 11:00:00,Boavista_2,0.702,0.0,1.21,105.07,-2.998,16811.199999999997,18492.32,3.7
2011-01-05 12:00:00,Boavista_2,0.453,0.0,1.3,105.07,-3.0170000000000003,16811.199999999997,18492.32,3.47
2011-01-05 13:00:00,Boavista_2,0.452,0.0,1.27,105.07,-2.728,16811.199999999997,18492.32,3.18
2011-01-05 14:00:00,Boavista_2,0.452,0.0,0.96,105.07,-1.218,16811.199999999997,18492.32,1.67
2011-01-05 15:00:00,Boavista_2,0.452,0.0,0.64,105.07,-0.808,16811.199999999997,18492.32,1.26
2011-01-05 16:00:00,Boavista_2,0.452,0.0,0.0,105.07,0.182,16811.199999999997,18492.32,0.27
2011-01-05 17:00:00,Boavista_2,2.647,0.0,0.0,105.07,2.647,16811.199999999997,18492.32,0.0
2011-01-05 18:00:00,Boavista_2,2.269,0.0,0.0,105.07,2.269,16811.199999999997,18492.32,0.0
2011-01-05 19:00:00,Boavista_2,5.374,0.0,0.0,105.07,5.374,16811.199999999997,18492.32,0.0
2011-01-05 20:00:00,Boavista_2,2.523,0.0,0.0,105.07,2.523,16811.199999999997,18492.32,0.0
2011-01-05 21:00:00,Boavista_2,2.39,0.0,0.0,105.07,2.39,16811.199999999997,18492.32,0.0
2011-01-05 22:00:00,Boavista_2,2.24,0.0,0.0,105.07,2.24,16811.199999999997,18492.32,0.0
2011-01-05 23:00:00,Boavista_2,1.378,0.0,0.0,105.07,1.378,16811.199999999997,18492.32,0.0
2011-01-06 00:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-06 01:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-06 02:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-06 03:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-06 04:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-06 05:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-06 06:00:00,Boavista_2,0.554,0.0,0.0,105.07,0.554,16811.199999999997,18492.32,0.0
2011-01-06 07:00:00,Boavista_2,2.12,0.0,0.0,105.07,2.12,16811.199999999997,18492.32,0.0
2011-01-06 08:00:00,Boavista_2,1.951,0.0,0.0,105.07,1.951,16811.199999999997,18492.32,0.0
2011-01-06 09:00:00,Boavista_2,1.314,0.0,1.11,105.07,-2.396,16811.199999999997,18492.32,3.71
2011-01-06 10:00:00,Boavista_2,0.452,0.0,1.66,105.07,-4.978,16811.199999999997,18492.32,5.43
2011-01-06 11:00:00,Boavista_2,0.702,0.0,2.07,105.07,-5.368,16811.199999999997,18492.32,6.07
2011-01-06 12:00:00,Boavista_2,0.453,0.0,1.94,105.07,-4.8469999999999995,16811.199999999997,18492.32,5.3
2011-01-06 13:00:00,Boavista_2,0.452,0.0,1.53,105.07,-3.338,16811.199999999997,18492.32,3.79
2011-01-06 14:00:00,Boavista_2,0.452,0.0,1.03,105.07,-0.6680000000000001,16811.199999999997,18492.32,1.12
2011-01-06 15:00:00,Boavista_2,0.452,0.0,0.0,105.07,0.452,16811.199999999997,18492.32,0.0
2011-01-06 16:00:00,Boavista_2,0.452,0.0,0.0,105.07,0.452,16811.199999999997,18492.32,0.0
2011-01-06 17:00:00,Boavista_2,1.352,0.0,0.0,105.07,1.352,16811.199999999997,18492.32,0.0
2011-01-06 18:00:00,Boavista_2,1.456,0.0,0.0,105.07,1.456,16811.199999999997,18492.32,0.0
2011-01-06 19:00:00,Boavista_2,5.374,0.0,0.0,105.07,5.374,16811.199999999997,18492.32,0.0
2011-01-06 20:00:00,Boavista_2,1.913,0.0,0.0,105.07,1.913,16811.199999999997,18492.32,0.0
2011-01-06 21:00:00,Boavista_2,1.942,0.0,0.0,105.07,1.942,16811.199999999997,18492.32,0.0
2011-01-06 22:00:00,Boavista_2,1.969,0.0,0.0,105.07,1.969,16811.199999999997,18492.32,0.0
2011-01-06 23:00:00,Boavista_2,1.172,0.0,0.0,105.07,1.172,16811.199999999997,18492.32,0.0
2011-01-07 00:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-07 01:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
2011-01-07 02:00:00,Boavista_2,0.334,0.0,0.0,105.07,0.334,16811.199999999997,18492.32,0.0
