,Building,Ecost_base (€),Ecost_SC (€),Ecost_EC (€),Ecost_EC_BESS (€),Savings_SC (€),Savings_SC (%),Savings_EC (€),Savings_EC (%),Savings_EC_BESS (€),Savings_EC_BESS (%),Income_PV_SC(€),Income_PV_EC(€),Income_PV_EC_B(€),incomeEC_total,incomeEC_b_total,PV_Power_W,PV_Investment_€
0,25Abril_Principal1,2005.7263778999998,1318.5282222,1316.305496534891,39.49052751598781,687.1981556999997,0.3426180974991702,689.4208813651087,0.34372628737471855,1966.2358503840119,0.9803111092564208,3931.5396248999996,3962.9388639482386,3753.480633224932,127679.1579222,91635.97396047912,33654.4,37019.84
1,25Abril_Principal2,358.52828780000004,236.3268195,234.71097181861387,7.239016679368829,122.20146830000004,0.3408419152916838,123.81731598138617,0.3453488056441893,351.2892711206312,0.9798090780401489,946.7631007,949.2547278950202,899.082564599891,127679.1579222,91635.97396047912,9313.6,10244.96
2,25Abril_Principal3,269.6453706,179.6609907,177.28976218868937,5.561207731939904,89.98437989999996,0.33371379489946995,92.35560841131061,0.3425076729698938,264.08416286806005,0.9793758456910815,678.8469479,681.380893568568,645.3670055639101,127679.1579222,91635.97396047912,6984.0,7682.400000000001
3,Alegria_Ernesto10,272.6989776,179.2213452,178.85766365383762,5.37470094339751,93.47763239999998,0.34278688252771794,93.84131394616236,0.34412051989358966,267.3242766566025,0.9802907183932269,632.2362487,610.6756692899444,578.3988541215655,127679.1579222,91635.97396047912,5257.6,5783.360000000001
4,Alegria_Ernesto12,209.57954370000002,139.5698499,137.97093964714978,4.113719760836781,70.00969380000001,0.33404831675850244,71.60860405285024,0.34167744994880545,205.46582393916324,0.9803715587494297,641.7206625000001,625.5720497514936,592.5078973057114,127679.1579222,91635.97396047912,5016.0,5517.6
5,Alegria_Ernesto13,297.5193095000001,196.53048360000003,195.53658492487187,11.215670551352403,100.98882590000005,0.3394362069128156,101.9827245751282,0.3427768259697718,286.3036389486477,0.9623027138298988,1103.8555408,1072.3189251113104,1015.6422938192596,127679.1579222,91635.97396047912,10384.0,11422.4
6,Alegria_Ernesto1,781.8380012,520.9996149,513.3526524566264,25.680941113788847,260.8383863,0.3336220366618834,268.4853487433736,0.34340278719030065,756.1570600862111,0.9671531173025965,848.3786589,819.3424098080092,776.0366669220402,127679.1579222,91635.97396047912,7289.6,8018.560000000001
7,Alegria_Ernesto2,885.5786398,583.1598825,581.3382513881853,28.00875482808474,302.41875730000004,0.34149283158895816,304.2403884118147,0.3435498269024699,857.5698849719153,0.968372368562988,1557.6948532000001,1517.1545136254035,1436.96642315326,127679.1579222,91635.97396047912,12524.8,13777.28
8,Alegria_Ernesto4,612.2135358,429.54302070000006,402.0672592044791,22.744620327071175,182.6705151,0.29837712565648894,210.14627659552093,0.3432565017055948,589.4689154729289,0.9628485503879786,837.0601677,851.7760015098409,806.7560048927156,127679.1579222,91635.97396047912,11067.2,12173.920000000002
9,Alegria_Ernesto5,883.698669,594.5250258,579.8718823594023,33.57749986792203,289.1736432,0.32723104984104034,303.8267866405977,0.3438126561675264,850.121169132078,0.9620034508981228,1238.1393534,1223.8078358600458,1159.124369158978,127679.1579222,91635.97396047912,10500.8,11550.88
