,Name,GRID_kWh,GRID_v_kWh,PV_roofs_top_E_kWh,PV_roofs_top_m2,Enet,PV_Power_W,PV_Investment_€,E_PV_gen_kWh
2011-01-01 00:00:00,EscPrima2,0.257,0.0,0.0,157.63,0.257,25220.8,27742.88,0.0
2011-01-01 01:00:00,EscPrima2,0.257,0.0,0.0,157.63,0.257,25220.8,27742.88,0.0
2011-01-01 02:00:00,EscPrima2,0.257,0.0,0.0,157.63,0.257,25220.8,27742.88,0.0
2011-01-01 03:00:00,EscPrima2,0.257,0.0,0.0,157.63,0.257,25220.8,27742.88,0.0
2011-01-01 04:00:00,EscPrima2,0.257,0.0,0.0,157.63,0.257,25220.8,27742.88,0.0
2011-01-01 05:00:00,EscPrima2,0.257,0.0,0.0,157.63,0.257,25220.8,27742.88,0.0
2011-01-01 06:00:00,EscPrima2,0.31,0.0,0.0,157.63,0.31,25220.8,27742.88,0.0
2011-01-01 07:00:00,EscPrima2,0.569,0.0,0.0,157.63,0.569,25220.8,27742.88,0.0
2011-01-01 08:00:00,EscPrima2,0.569,0.0,0.0,157.63,0.569,25220.8,27742.88,0.0
2011-01-01 09:00:00,EscPrima2,1.073,0.0,1.54,157.63,-4.057,25220.8,27742.88,5.13
2011-01-01 10:00:00,EscPrima2,1.073,0.0,2.16,157.63,-5.127000000000001,25220.8,27742.88,6.2
2011-01-01 11:00:00,EscPrima2,2.785,0.0,2.14,157.63,-2.9050000000000002,25220.8,27742.88,5.69
2011-01-01 12:00:00,EscPrima2,0.71,0.0,2.21,157.63,-4.74,25220.8,27742.88,5.45
2011-01-01 13:00:00,EscPrima2,0.71,0.0,2.1,157.63,-4.55,25220.8,27742.88,5.26
2011-01-01 14:00:00,EscPrima2,0.71,0.0,1.65,157.63,-3.63,25220.8,27742.88,4.34
2011-01-01 15:00:00,EscPrima2,0.71,0.0,1.29,157.63,-2.77,25220.8,27742.88,3.48
2011-01-01 16:00:00,EscPrima2,0.71,0.0,0.0,157.63,-0.13,25220.8,27742.88,0.84
2011-01-01 17:00:00,EscPrima2,0.71,0.0,0.0,157.63,0.71,25220.8,27742.88,0.0
2011-01-01 18:00:00,EscPrima2,0.789,0.0,0.0,157.63,0.789,25220.8,27742.88,0.0
2011-01-01 19:00:00,EscPrima2,4.174,0.0,0.0,157.63,4.174,25220.8,27742.88,0.0
2011-01-01 20:00:00,EscPrima2,1.366,0.0,0.0,157.63,1.366,25220.8,27742.88,0.0
2011-01-01 21:00:00,EscPrima2,1.366,0.0,0.0,157.63,1.366,25220.8,27742.88,0.0
2011-01-01 22:00:00,EscPrima2,1.366,0.0,0.0,157.63,1.366,25220.8,27742.88,0.0
2011-01-01 23:00:00,EscPrima2,0.591,0.0,0.0,157.63,0.591,25220.8,27742.88,0.0
2011-01-02 00:00:00,EscPrima2,0.257,0.0,0.0,157.63,0.257,25220.8,27742.88,0.0
2011-01-02 01:00:00,EscPrima2,0.257,0.0,0.0,157.63,0.257,25220.8,27742.88,0.0
2011-01-02 02:00:00,EscPrima2,0.257,0.0,0.0,157.63,0.257,25220.8,27742.88,0.0
2011-01-02 03:00:00,EscPrima2,0.257,0.0,0.0,157.63,0.257,25220.8,27742.88,0.0
2011-01-02 04:00:00,EscPrima2,0.257,0.0,0.0,157.63,0.257,25220.8,27742.88,0.0
2011-01-02 05:00:00,EscPrima2,0.257,0.0,0.0,157.63,0.257,25220.8,27742.88,0.0
2011-01-02 06:00:00,EscPrima2,0.257,0.0,0.0,157.63,0.257,25220.8,27742.88,0.0
2011-01-02 07:00:00,EscPrima2,0.569,0.0,0.0,157.63,0.569,25220.8,27742.88,0.0
2011-01-02 08:00:00,EscPrima2,0.569,0.0,0.0,157.63,0.569,25220.8,27742.88,0.0
2011-01-02 09:00:00,EscPrima2,1.125,0.0,2.02,157.63,-4.375,25220.8,27742.88,5.5
2011-01-02 10:00:00,EscPrima2,1.125,0.0,3.05,157.63,-6.335,25220.8,27742.88,7.46
2011-01-02 11:00:00,EscPrima2,2.837,0.0,3.69,157.63,-5.523,25220.8,27742.88,8.36
2011-01-02 12:00:00,EscPrima2,0.71,0.0,3.12,157.63,-6.31,25220.8,27742.88,7.02
2011-01-02 13:00:00,EscPrima2,0.71,0.0,2.26,157.63,-4.72,25220.8,27742.88,5.43
2011-01-02 14:00:00,EscPrima2,0.71,0.0,1.98,157.63,-3.95,25220.8,27742.88,4.66
2011-01-02 15:00:00,EscPrima2,0.71,0.0,1.25,157.63,-1.98,25220.8,27742.88,2.69
2011-01-02 16:00:00,EscPrima2,0.709,0.0,0.0,157.63,0.709,25220.8,27742.88,0.0
2011-01-02 17:00:00,EscPrima2,0.71,0.0,0.0,157.63,0.71,25220.8,27742.88,0.0
2011-01-02 18:00:00,EscPrima2,0.71,0.0,0.0,157.63,0.71,25220.8,27742.88,0.0
2011-01-02 19:00:00,EscPrima2,4.095,0.0,0.0,157.63,4.095,25220.8,27742.88,0.0
2011-01-02 20:00:00,EscPrima2,1.366,0.0,0.0,157.63,1.366,25220.8,27742.88,0.0
2011-01-02 21:00:00,EscPrima2,1.366,0.0,0.0,157.63,1.366,25220.8,27742.88,0.0
