,Name,GRID_kWh,GRID_v_kWh,PV_roofs_top_E_kWh,PV_roofs_top_m2,Enet,PV_Power_W,PV_Investment_€,E_PV_gen_kWh
2011-01-01 00:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-01 01:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-01 02:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-01 03:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-01 04:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-01 05:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-01 06:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-01 07:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-01 08:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-01 09:00:00,Escola16,0.0,0.0,0.83,85.48,-1.5,13676.800000000001,15044.480000000003,1.5
2011-01-01 10:00:00,Escola16,0.0,0.0,1.16,85.48,-2.0,13676.800000000001,15044.480000000003,2.0
2011-01-01 11:00:00,Escola16,0.0,0.0,1.16,85.48,-1.96,13676.800000000001,15044.480000000003,1.96
2011-01-01 12:00:00,Escola16,0.0,0.0,1.2,85.48,-1.96,13676.800000000001,15044.480000000003,1.96
2011-01-01 13:00:00,Escola16,0.0,0.0,1.14,85.48,-1.8,13676.800000000001,15044.480000000003,1.8
2011-01-01 14:00:00,Escola16,0.0,0.0,0.89,85.48,-1.39,13676.800000000001,15044.480000000003,1.39
2011-01-01 15:00:00,Escola16,0.0,0.0,0.7,85.48,-1.11,13676.800000000001,15044.480000000003,1.11
2011-01-01 16:00:00,Escola16,0.0,0.0,0.0,85.48,-0.19,13676.800000000001,15044.480000000003,0.19
2011-01-01 17:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-01 18:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-01 19:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-01 20:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-01 21:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-01 22:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-01 23:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-02 00:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-02 01:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-02 02:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-02 03:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-02 04:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-02 05:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-02 06:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-02 07:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-02 08:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-02 09:00:00,Escola16,0.0,0.0,1.08,85.48,-1.71,13676.800000000001,15044.480000000003,1.71
2011-01-02 10:00:00,Escola16,0.0,0.0,1.64,85.48,-2.51,13676.800000000001,15044.480000000003,2.51
2011-01-02 11:00:00,Escola16,0.0,0.0,2.0,85.48,-2.99,13676.800000000001,15044.480000000003,2.99
2011-01-02 12:00:00,Escola16,0.0,0.0,1.69,85.48,-2.59,13676.800000000001,15044.480000000003,2.59
2011-01-02 13:00:00,Escola16,0.0,0.0,1.22,85.48,-1.89,13676.800000000001,15044.480000000003,1.89
2011-01-02 14:00:00,Escola16,0.0,0.0,1.07,85.48,-1.57,13676.800000000001,15044.480000000003,1.57
2011-01-02 15:00:00,Escola16,0.0,0.0,0.68,85.48,-0.95,13676.800000000001,15044.480000000003,0.95
2011-01-02 16:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-02 17:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
2011-01-02 18:00:00,Escola16,0.0,0.0,0.0,85.48,0.0,13676.800000000001,15044.480000000003,0.0
