,Name,GRID_kWh,GRID_v_kWh,PV_roofs_top_E_kWh,PV_roofs_top_m2,Enet,PV_Power_W,PV_Investment_€,E_PV_gen_kWh
2011-01-01 00:00:00,EvaristoSilva4,0.851,0.0,0.0,178.56,0.851,28569.6,31426.56,0.0
2011-01-01 01:00:00,EvaristoSilva4,0.851,0.0,0.0,178.56,0.851,28569.6,31426.56,0.0
2011-01-01 02:00:00,EvaristoSilva4,0.851,0.0,0.0,178.56,0.851,28569.6,31426.56,0.0
2011-01-01 03:00:00,EvaristoSilva4,0.851,0.0,0.0,178.56,0.851,28569.6,31426.56,0.0
2011-01-01 04:00:00,EvaristoSilva4,0.851,0.0,0.0,178.56,0.851,28569.6,31426.56,0.0
2011-01-01 05:00:00,EvaristoSilva4,0.851,0.0,0.0,178.56,0.851,28569.6,31426.56,0.0
2011-01-01 06:00:00,EvaristoSilva4,1.222,0.0,0.0,178.56,1.222,28569.6,31426.56,0.0
2011-01-01 07:00:00,EvaristoSilva4,1.762,0.0,0.0,178.56,1.762,28569.6,31426.56,0.0
2011-01-01 08:00:00,EvaristoSilva4,1.763,0.0,0.0,178.56,1.763,28569.6,31426.56,0.0
2011-01-01 09:00:00,EvaristoSilva4,3.262,0.0,1.75,178.56,-0.7479999999999998,28569.6,31426.56,4.01
2011-01-01 10:00:00,EvaristoSilva4,3.262,0.0,2.44,178.56,-4.898,28569.6,31426.56,8.16
2011-01-01 11:00:00,EvaristoSilva4,8.636,0.0,2.42,178.56,-2.2540000000000013,28569.6,31426.56,10.89
2011-01-01 12:00:00,EvaristoSilva4,2.206,0.0,2.5,178.56,-10.844000000000001,28569.6,31426.56,13.05
2011-01-01 13:00:00,EvaristoSilva4,2.205,0.0,2.38,178.56,-11.705,28569.6,31426.56,13.91
2011-01-01 14:00:00,EvaristoSilva4,2.205,0.0,1.86,178.56,-10.275,28569.6,31426.56,12.48
2011-01-01 15:00:00,EvaristoSilva4,2.204,0.0,1.43,178.56,-8.835999999999999,28569.6,31426.56,11.04
2011-01-01 16:00:00,EvaristoSilva4,2.205,0.0,0.0,178.56,-2.205,28569.6,31426.56,4.41
2011-01-01 17:00:00,EvaristoSilva4,2.205,0.0,0.0,178.56,2.205,28569.6,31426.56,0.0
2011-01-01 18:00:00,EvaristoSilva4,2.783,0.0,0.0,178.56,2.783,28569.6,31426.56,0.0
2011-01-01 19:00:00,EvaristoSilva4,13.408,0.0,0.0,178.56,13.408,28569.6,31426.56,0.0
2011-01-01 20:00:00,EvaristoSilva4,4.265,0.0,0.0,178.56,4.265,28569.6,31426.56,0.0
2011-01-01 21:00:00,EvaristoSilva4,4.265,0.0,0.0,178.56,4.265,28569.6,31426.56,0.0
2011-01-01 22:00:00,EvaristoSilva4,4.265,0.0,0.0,178.56,4.265,28569.6,31426.56,0.0
2011-01-01 23:00:00,EvaristoSilva4,1.833,0.0,0.0,178.56,1.833,28569.6,31426.56,0.0
2011-01-02 00:00:00,EvaristoSilva4,0.851,0.0,0.0,178.56,0.851,28569.6,31426.56,0.0
2011-01-02 01:00:00,EvaristoSilva4,0.851,0.0,0.0,178.56,0.851,28569.6,31426.56,0.0
