,Name,GRID_kWh,GRID_v_kWh,PV_roofs_top_E_kWh,PV_roofs_top_m2,Enet,PV_Power_W,PV_Investment_€,E_PV_gen_kWh
2011-01-01 00:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-01 01:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-01 02:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-01 03:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-01 04:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-01 05:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-01 06:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-01 07:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-01 08:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-01 09:00:00,Gimno4,0.0,0.0,3.46,355.77,-4.14,56923.2,62615.520000000004,4.14
2011-01-01 10:00:00,Gimno4,0.0,0.0,4.86,355.77,-5.95,56923.2,62615.520000000004,5.95
2011-01-01 11:00:00,Gimno4,0.0,0.0,4.82,355.77,-6.13,56923.2,62615.520000000004,6.13
2011-01-01 12:00:00,Gimno4,0.0,0.0,4.99,355.77,-6.55,56923.2,62615.520000000004,6.55
2011-01-01 13:00:00,Gimno4,0.0,0.0,4.74,355.77,-6.47,56923.2,62615.520000000004,6.47
2011-01-01 14:00:00,Gimno4,0.0,0.0,3.7,355.77,-5.29,56923.2,62615.520000000004,5.29
2011-01-01 15:00:00,Gimno4,0.0,0.0,2.91,355.77,-4.37,56923.2,62615.520000000004,4.37
2011-01-01 16:00:00,Gimno4,0.0,0.0,0.0,355.77,-0.67,56923.2,62615.520000000004,0.67
2011-01-01 17:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-01 18:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-01 19:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-01 20:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-01 21:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-01 22:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-01 23:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-02 00:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-02 01:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-02 02:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-02 03:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-02 04:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-02 05:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-02 06:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-02 07:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-02 08:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-02 09:00:00,Gimno4,0.0,0.0,4.53,355.77,-5.24,56923.2,62615.520000000004,5.24
2011-01-02 10:00:00,Gimno4,0.0,0.0,6.87,355.77,-8.06,56923.2,62615.520000000004,8.06
2011-01-02 11:00:00,Gimno4,0.0,0.0,8.33,355.77,-10.0,56923.2,62615.520000000004,10.0
2011-01-02 12:00:00,Gimno4,0.0,0.0,7.05,355.77,-8.89,56923.2,62615.520000000004,8.89
2011-01-02 13:00:00,Gimno4,0.0,0.0,5.1,355.77,-6.81,56923.2,62615.520000000004,6.81
2011-01-02 14:00:00,Gimno4,0.0,0.0,4.44,355.77,-5.99,56923.2,62615.520000000004,5.99
2011-01-02 15:00:00,Gimno4,0.0,0.0,2.81,355.77,-3.79,56923.2,62615.520000000004,3.79
2011-01-02 16:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-02 17:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-02 18:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-02 19:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-02 20:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-02 21:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-02 22:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-02 23:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-03 00:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-03 01:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-03 02:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-03 03:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-03 04:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-03 05:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-03 06:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-03 07:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-03 08:00:00,Gimno4,12.482,0.0,0.0,355.77,12.482,56923.2,62615.520000000004,0.0
2011-01-03 09:00:00,Gimno4,16.184,0.0,3.9,355.77,11.744,56923.2,62615.520000000004,4.44
2011-01-03 10:00:00,Gimno4,15.031,0.0,5.72,355.77,8.401,56923.2,62615.520000000004,6.63
2011-01-03 11:00:00,Gimno4,13.677,0.0,7.17,355.77,5.296999999999999,56923.2,62615.520000000004,8.38
2011-01-03 12:00:00,Gimno4,12.176,0.0,7.89,355.77,2.7859999999999996,56923.2,62615.520000000004,9.39
2011-01-03 13:00:00,Gimno4,10.225,0.0,7.12,355.77,1.4350000000000005,56923.2,62615.520000000004,8.79
2011-01-03 14:00:00,Gimno4,9.474,0.0,5.65,355.77,2.2439999999999998,56923.2,62615.520000000004,7.23
2011-01-03 15:00:00,Gimno4,10.062,0.0,3.61,355.77,5.161999999999999,56923.2,62615.520000000004,4.9
2011-01-03 16:00:00,Gimno4,9.659,0.0,0.0,355.77,9.109,56923.2,62615.520000000004,0.55
2011-01-03 17:00:00,Gimno4,8.711,0.0,0.0,355.77,8.711,56923.2,62615.520000000004,0.0
2011-01-03 18:00:00,Gimno4,6.953,0.0,0.0,355.77,6.953,56923.2,62615.520000000004,0.0
2011-01-03 19:00:00,Gimno4,1.203,0.0,0.0,355.77,1.203,56923.2,62615.520000000004,0.0
2011-01-03 20:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-03 21:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-03 22:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-03 23:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-04 00:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
2011-01-04 01:00:00,Gimno4,0.0,0.0,0.0,355.77,0.0,56923.2,62615.520000000004,0.0
