,Name,GRID_kWh,GRID_v_kWh,PV_roofs_top_E_kWh,PV_roofs_top_m2,Enet,PV_Power_W,PV_Investment_€,E_PV_gen_kWh
2011-01-01 00:00:00,NoeLuis5,0.234,0.0,0.0,73.39,0.234,11742.4,12916.640000000001,0.0
2011-01-01 01:00:00,NoeLuis5,0.234,0.0,0.0,73.39,0.234,11742.4,12916.640000000001,0.0
2011-01-01 02:00:00,NoeLuis5,0.234,0.0,0.0,73.39,0.234,11742.4,12916.640000000001,0.0
2011-01-01 03:00:00,NoeLuis5,0.234,0.0,0.0,73.39,0.234,11742.4,12916.640000000001,0.0
2011-01-01 04:00:00,NoeLuis5,0.234,0.0,0.0,73.39,0.234,11742.4,12916.640000000001,0.0
2011-01-01 05:00:00,NoeLuis5,0.234,0.0,0.0,73.39,0.234,11742.4,12916.640000000001,0.0
2011-01-01 06:00:00,NoeLuis5,0.325,0.0,0.0,73.39,0.325,11742.4,12916.640000000001,0.0
2011-01-01 07:00:00,NoeLuis5,0.494,0.0,0.0,73.39,0.494,11742.4,12916.640000000001,0.0
2011-01-01 08:00:00,NoeLuis5,0.495,0.0,0.0,73.39,0.495,11742.4,12916.640000000001,0.0
2011-01-01 09:00:00,NoeLuis5,0.907,0.0,0.71,73.39,-2.863,11742.4,12916.640000000001,3.77
2011-01-01 10:00:00,NoeLuis5,0.907,0.0,1.0,73.39,-4.053,11742.4,12916.640000000001,4.96
2011-01-01 11:00:00,NoeLuis5,2.384,0.0,0.99,73.39,-2.6460000000000004,11742.4,12916.640000000001,5.03
2011-01-01 12:00:00,NoeLuis5,0.616,0.0,1.03,73.39,-4.5440000000000005,11742.4,12916.640000000001,5.16
2011-01-01 13:00:00,NoeLuis5,0.616,0.0,0.98,73.39,-4.424,11742.4,12916.640000000001,5.04
2011-01-01 14:00:00,NoeLuis5,0.616,0.0,0.76,73.39,-3.7239999999999998,11742.4,12916.640000000001,4.34
2011-01-01 15:00:00,NoeLuis5,0.616,0.0,0.6,73.39,-3.2239999999999998,11742.4,12916.640000000001,3.84
2011-01-01 16:00:00,NoeLuis5,0.616,0.0,0.0,73.39,-0.7839999999999999,11742.4,12916.640000000001,1.4
2011-01-01 17:00:00,NoeLuis5,0.616,0.0,0.0,73.39,0.616,11742.4,12916.640000000001,0.0
2011-01-01 18:00:00,NoeLuis5,0.764,0.0,0.0,73.39,0.764,11742.4,12916.640000000001,0.0
2011-01-01 19:00:00,NoeLuis5,3.685,0.0,0.0,73.39,3.685,11742.4,12916.640000000001,0.0
2011-01-01 20:00:00,NoeLuis5,1.183,0.0,0.0,73.39,1.183,11742.4,12916.640000000001,0.0
2011-01-01 21:00:00,NoeLuis5,1.183,0.0,0.0,73.39,1.183,11742.4,12916.640000000001,0.0
2011-01-01 22:00:00,NoeLuis5,1.183,0.0,0.0,73.39,1.183,11742.4,12916.640000000001,0.0
2011-01-01 23:00:00,NoeLuis5,0.514,0.0,0.0,73.39,0.514,11742.4,12916.640000000001,0.0
2011-01-02 00:00:00,NoeLuis5,0.234,0.0,0.0,73.39,0.234,11742.4,12916.640000000001,0.0
2011-01-02 01:00:00,NoeLuis5,0.234,0.0,0.0,73.39,0.234,11742.4,12916.640000000001,0.0
2011-01-02 02:00:00,NoeLuis5,0.234,0.0,0.0,73.39,0.234,11742.4,12916.640000000001,0.0
2011-01-02 03:00:00,NoeLuis5,0.234,0.0,0.0,73.39,0.234,11742.4,12916.640000000001,0.0
2011-01-02 04:00:00,NoeLuis5,0.234,0.0,0.0,73.39,0.234,11742.4,12916.640000000001,0.0
2011-01-02 05:00:00,NoeLuis5,0.234,0.0,0.0,73.39,0.234,11742.4,12916.640000000001,0.0
2011-01-02 06:00:00,NoeLuis5,0.234,0.0,0.0,73.39,0.234,11742.4,12916.640000000001,0.0
2011-01-02 07:00:00,NoeLuis5,0.494,0.0,0.0,73.39,0.494,11742.4,12916.640000000001,0.0
