,Name,GRID_kWh,GRID_v_kWh,PV_roofs_top_E_kWh,PV_roofs_top_m2,Enet,PV_Power_W,PV_Investment_€,E_PV_gen_kWh
2011-01-01 00:00:00,dasFlores5,0.066,0.0,0.0,41.25,0.066,6600.0,7260.000000000001,0.0
2011-01-01 01:00:00,dasFlores5,0.066,0.0,0.0,41.25,0.066,6600.0,7260.000000000001,0.0
2011-01-01 02:00:00,dasFlores5,0.066,0.0,0.0,41.25,0.066,6600.0,7260.000000000001,0.0
2011-01-01 03:00:00,dasFlores5,0.065,0.0,0.0,41.25,0.065,6600.0,7260.000000000001,0.0
2011-01-01 04:00:00,dasFlores5,0.065,0.0,0.0,41.25,0.065,6600.0,7260.000000000001,0.0
2011-01-01 05:00:00,dasFlores5,0.066,0.0,0.0,41.25,0.066,6600.0,7260.000000000001,0.0
2011-01-01 06:00:00,dasFlores5,0.091,0.0,0.0,41.25,0.091,6600.0,7260.000000000001,0.0
2011-01-01 07:00:00,dasFlores5,0.14,0.0,0.0,41.25,0.14,6600.0,7260.000000000001,0.0
2011-01-01 08:00:00,dasFlores5,0.141,0.0,0.0,41.25,0.141,6600.0,7260.000000000001,0.0
2011-01-01 09:00:00,dasFlores5,0.256,0.0,0.4,41.25,-0.21399999999999997,6600.0,7260.000000000001,0.47
2011-01-01 10:00:00,dasFlores5,0.256,0.0,0.56,41.25,-0.694,6600.0,7260.000000000001,0.95
2011-01-01 11:00:00,dasFlores5,0.67,0.0,0.56,41.25,-0.66,6600.0,7260.000000000001,1.33
2011-01-01 12:00:00,dasFlores5,0.175,0.0,0.58,41.25,-1.415,6600.0,7260.000000000001,1.59
2011-01-01 13:00:00,dasFlores5,0.175,0.0,0.55,41.25,-1.435,6600.0,7260.000000000001,1.61
2011-01-01 14:00:00,dasFlores5,0.175,0.0,0.43,41.25,-1.175,6600.0,7260.000000000001,1.35
2011-01-01 15:00:00,dasFlores5,0.175,0.0,0.34,41.25,-0.935,6600.0,7260.000000000001,1.11
2011-01-01 16:00:00,dasFlores5,0.175,0.0,0.0,41.25,-0.15500000000000003,6600.0,7260.000000000001,0.33
2011-01-01 17:00:00,dasFlores5,0.175,0.0,0.0,41.25,0.175,6600.0,7260.000000000001,0.0
