,Name,GRID_kWh,GRID_v_kWh,PV_roofs_top_E_kWh,PV_roofs_top_m2,Enet,PV_Power_W,PV_Investment_€,E_PV_gen_kWh
2011-01-01 00:00:00,Bosm-w210107547,1.392,0.0,0.0,611.44,1.392,97830.40000000001,107613.44000000002,0.0
2011-01-01 01:00:00,Bosm-w210107547,1.392,0.0,0.0,611.44,1.392,97830.40000000001,107613.44000000002,0.0
2011-01-01 02:00:00,Bosm-w210107547,1.391,0.0,0.0,611.44,1.391,97830.40000000001,107613.44000000002,0.0
2011-01-01 03:00:00,Bosm-w210107547,1.391,0.0,0.0,611.44,1.391,97830.40000000001,107613.44000000002,0.0
2011-01-01 04:00:00,Bosm-w210107547,1.391,0.0,0.0,611.44,1.391,97830.40000000001,107613.44000000002,0.0
2011-01-01 05:00:00,Bosm-w210107547,1.392,0.0,0.0,611.44,1.392,97830.40000000001,107613.44000000002,0.0
2011-01-01 06:00:00,Bosm-w210107547,2.11,0.0,0.0,611.44,2.11,97830.40000000001,107613.44000000002,0.0
2011-01-01 07:00:00,Bosm-w210107547,13.654,0.0,0.0,611.44,13.654,97830.40000000001,107613.44000000002,0.0
2011-01-01 08:00:00,Bosm-w210107547,13.171,0.0,0.0,611.44,13.171,97830.40000000001,107613.44000000002,0.0
2011-01-01 09:00:00,Bosm-w210107547,15.154,1.584,6.91,611.44,8.244,97830.40000000001,107613.44000000002,6.91
2011-01-01 10:00:00,Bosm-w210107547,13.869,1.584,12.2,611.44,1.6690000000000005,97830.40000000001,107613.44000000002,12.2
2011-01-01 11:00:00,Bosm-w210107547,17.41,1.584,12.96,611.44,4.449999999999999,97830.40000000001,107613.44000000002,12.96
2011-01-01 12:00:00,Bosm-w210107547,9.507,1.584,15.46,611.44,-5.953000000000001,97830.40000000001,107613.44000000002,15.46
2011-01-01 13:00:00,Bosm-w210107547,7.428,0.0,14.77,611.44,-7.342,97830.40000000001,107613.44000000002,14.77
2011-01-01 14:00:00,Bosm-w210107547,7.634,0.0,11.2,611.44,-3.565999999999999,97830.40000000001,107613.44000000002,11.2
2011-01-01 15:00:00,Bosm-w210107547,8.109,0.0,9.01,611.44,-0.9009999999999998,97830.40000000001,107613.44000000002,9.01
2011-01-01 16:00:00,Bosm-w210107547,8.982,0.0,0.0,611.44,8.982,97830.40000000001,107613.44000000002,0.0
2011-01-01 17:00:00,Bosm-w210107547,9.44,0.0,0.0,611.44,9.44,97830.40000000001,107613.44000000002,0.0
2011-01-01 18:00:00,Bosm-w210107547,10.533,0.0,0.0,611.44,10.533,97830.40000000001,107613.44000000002,0.0
2011-01-01 19:00:00,Bosm-w210107547,22.009,0.0,0.0,611.44,22.009,97830.40000000001,107613.44000000002,0.0
2011-01-01 20:00:00,Bosm-w210107547,12.521,0.0,0.0,611.44,12.521,97830.40000000001,107613.44000000002,0.0
2011-01-01 21:00:00,Bosm-w210107547,11.925,0.0,0.0,611.44,11.925,97830.40000000001,107613.44000000002,0.0
2011-01-01 22:00:00,Bosm-w210107547,11.187,0.0,0.0,611.44,11.187,97830.40000000001,107613.44000000002,0.0
2011-01-01 23:00:00,Bosm-w210107547,9.672,0.0,0.0,611.44,9.672,97830.40000000001,107613.44000000002,0.0
2011-01-02 00:00:00,Bosm-w210107547,1.392,0.0,0.0,611.44,1.392,97830.40000000001,107613.44000000002,0.0
2011-01-02 01:00:00,Bosm-w210107547,1.392,0.0,0.0,611.44,1.392,97830.40000000001,107613.44000000002,0.0
2011-01-02 02:00:00,Bosm-w210107547,1.391,0.0,0.0,611.44,1.391,97830.40000000001,107613.44000000002,0.0
2011-01-02 03:00:00,Bosm-w210107547,1.391,0.0,0.0,611.44,1.391,97830.40000000001,107613.44000000002,0.0
2011-01-02 04:00:00,Bosm-w210107547,1.391,0.0,0.0,611.44,1.391,97830.40000000001,107613.44000000002,0.0
2011-01-02 05:00:00,Bosm-w210107547,1.391,0.0,0.0,611.44,1.391,97830.40000000001,107613.44000000002,0.0
2011-01-02 06:00:00,Bosm-w210107547,1.392,0.0,0.0,611.44,1.392,97830.40000000001,107613.44000000002,0.0
2011-01-02 07:00:00,Bosm-w210107547,16.624,0.0,0.0,611.44,16.624,97830.40000000001,107613.44000000002,0.0
2011-01-02 08:00:00,Bosm-w210107547,16.069,0.0,0.0,611.44,16.069,97830.40000000001,107613.44000000002,0.0
2011-01-02 09:00:00,Bosm-w210107547,18.845,1.584,0.0,611.44,18.845,97830.40000000001,107613.44000000002,0.0
2011-01-02 10:00:00,Bosm-w210107547,17.917,1.584,7.52,611.44,10.397000000000002,97830.40000000001,107613.44000000002,7.52
2011-01-02 11:00:00,Bosm-w210107547,22.669,1.584,9.85,611.44,12.819,97830.40000000001,107613.44000000002,9.85
2011-01-02 12:00:00,Bosm-w210107547,14.654,1.584,10.9,611.44,3.7539999999999996,97830.40000000001,107613.44000000002,10.9
2011-01-02 13:00:00,Bosm-w210107547,12.631,0.0,10.38,611.44,2.2509999999999994,97830.40000000001,107613.44000000002,10.38
2011-01-02 14:00:00,Bosm-w210107547,12.366,0.0,8.38,611.44,3.985999999999999,97830.40000000001,107613.44000000002,8.38
2011-01-02 15:00:00,Bosm-w210107547,12.247,0.0,5.13,611.44,7.117,97830.40000000001,107613.44000000002,5.13
2011-01-02 16:00:00,Bosm-w210107547,12.254,0.0,0.0,611.44,12.254,97830.40000000001,107613.44000000002,0.0
2011-01-02 17:00:00,Bosm-w210107547,12.278,0.0,0.0,611.44,12.278,97830.40000000001,107613.44000000002,0.0
2011-01-02 18:00:00,Bosm-w210107547,12.155,0.0,0.0,611.44,12.155,97830.40000000001,107613.44000000002,0.0
2011-01-02 19:00:00,Bosm-w210107547,23.357,0.0,0.0,611.44,23.357,97830.40000000001,107613.44000000002,0.0
2011-01-02 20:00:00,Bosm-w210107547,14.583,0.0,0.0,611.44,14.583,97830.40000000001,107613.44000000002,0.0
2011-01-02 21:00:00,Bosm-w210107547,13.93,0.0,0.0,611.44,13.93,97830.40000000001,107613.44000000002,0.0
2011-01-02 22:00:00,Bosm-w210107547,13.207,0.0,0.0,611.44,13.207,97830.40000000001,107613.44000000002,0.0
2011-01-02 23:00:00,Bosm-w210107547,10.935,0.0,0.0,611.44,10.935,97830.40000000001,107613.44000000002,0.0
2011-01-03 00:00:00,Bosm-w210107547,2.976,1.584,0.0,611.44,2.976,97830.40000000001,107613.44000000002,0.0
2011-01-03 01:00:00,Bosm-w210107547,2.975,1.584,0.0,611.44,2.975,97830.40000000001,107613.44000000002,0.0
