,Building,Ecost_base (€),Ecost_SC (€),Ecost_EC (€),Ecost_EC_BESS (€),Savings_SC (€),Savings_SC (%),Savings_EC (€),Savings_EC (%),Savings_EC_BESS (€),Savings_EC_BESS (%),Income_PV_SC(€),Income_PV_EC(€),Income_PV_EC_B(€),incomeEC_total,incomeEC_b_total
0,Bosm-w210107539,10028.7037577,7509.2018031,7393.999437147089,3118.102712825183,2519.5019545999994,0.2512290736143777,2634.70432055291,0.26271633744590317,6910.601044874817,0.6890821796953454,6617.2901152,6566.433491614258,6344.282318222368,333548.6808599,218628.7498363782
1,Bosm-w210107553,8315.854700099999,5912.1527472,5899.224121845835,2254.552604049326,2403.701952899999,0.289050499267513,2416.630578254164,0.2906051951851809,6061.302096050673,0.7288850412426982,8242.020109000001,8105.268971558134,7831.056948397008,333548.6808599,218628.7498363782
2,Bosm-w210107537,10315.363528899998,7689.2444856,7584.768742440707,3179.3969876070623,2626.1190432999974,0.25458327628905575,2730.594786459291,0.2647114450992571,7135.966541292935,0.6917804225997933,7110.515989,7058.415724521754,6819.620138227801,333548.6808599,218628.7498363782
3,Bosm-w210497550,2916.750318,1599.0422364,1589.4722389631902,551.6199521361932,1317.7080815999998,0.45177267093041584,1327.2780790368097,0.4550537188067977,2365.1303658638067,0.8108785833562757,3751.7991849,3803.4590167850474,3674.782942534725,333548.6808599,218628.7498363782
4,Bosm-w210107547,7485.2800864,5294.7496836,5289.200210463459,2022.2159041344999,2190.5304028,0.29264508174917503,2196.0798759365407,0.2933864665834745,5463.0641822655,0.7298409837985004,10003.8923544,10011.628030704718,9672.921346562634,333548.6808599,218628.7498363782
5,Bosm-w210497549,7648.1112656,4278.5103186,4264.27746631112,1322.9637078594437,3369.600947,0.44057948818761755,3383.833799288879,0.4424404512142535,6325.147557740556,0.8270208601946044,11133.6307789,11320.46757555505,10937.481109847902,333548.6808599,218628.7498363782
6,Bosm-w210481762,14676.535810700001,10287.729306000001,10280.884916344292,3783.757942369697,4388.8065047,0.2990355872330798,4395.650894355709,0.2995019363596032,10892.777868330304,0.7421899833057928,17069.0112557,16881.05174234202,16309.94332291774,333548.6808599,218628.7498363782
7,Bosm-w210497545,1551.7078892,808.9210143000001,808.5855109268152,283.95680512850777,742.7868748999998,0.47868988749097086,743.1223782731847,0.4789061030399927,1267.7510840714922,0.817003698244452,3841.1855266,3877.7076583282114,3746.519653840168,333548.6808599,218628.7498363782
8,Bosm-w210497554,1534.8807574999998,798.6217491000001,798.3162929796702,281.1760382532473,736.2590083999997,0.4796848255490621,736.5644645203297,0.479883835223812,1253.7047192467526,0.8168091971449142,3867.9457297,3900.702006977464,3768.736073109593,333548.6808599,218628.7498363782
9,Bosm-w210107545,10031.315391099999,7531.3375101,7409.350209327108,3126.7846006574905,2499.977880999999,0.24921735420840557,2621.965181772891,0.2613780027392176,6904.530790442508,0.6882976480400923,6489.047506999999,6457.171327469714,6238.7166383265485,333548.6808599,218628.7498363782
10,Bosm-w210481764,73442.6432518,61377.93350190001,56587.92225802936,30631.785452379492,12064.709749899986,0.16427390431109373,16854.720993770636,0.22949502152290177,42810.8577994205,0.5829155365860453,16465.1616385,16430.95351729222,15875.072519110248,333548.6808599,218628.7498363782
